District,Sanctioned post (Number),Fulfilled Number,Fulfilled %,Filled in contract (Karar) (Number),Recruited using local & other resources (Number)
Taplejung,57,57,100,0,0
Panchthar,67,37,55,0,0
Ilam,8,8,100,0,0
Jhapa,65,65,100,33,0
Morang,27,42,156,0,0
Sunsari,65,47,72,0,3
Dhankuta,37,21,57,0,0
Teharthum,3,2,67,0,0
Sankhuwasabha,6,4,67,0,0
Bhojpur,8,5,63,0,3
Solukhumbu,34,23,68,0,18
Okhaldhunga,20,16,80,0,29
Khotang,6,5,83,0,0
Udaypur,10,10,100,0,0
Saptari,14,64,457,0,0
Siraha,43,43,100,0,0
Dhanusha,10,8,80,0,0
Mahottari,7,3,43,0,0
Sarlahi,7,4,57,2,0
Sindhuli,24,24,100,0,0
Ramechhap,7,6,86,0,0
Dolkha,45,37,82,0,0
Sindhupalchowk,40,64,160,0,0
Kavre,103,45,44,5,0
Lalitpur,28,28,100,16,0
Bhaktapur,6,10,167,0,0
Kathmandu,92,57,62,0,0
Nuwakot,27,6,22,0,0
Rasuwa,33,27,82,0,0
Dhading,6,5,83,2,0
Makawanpur,6,5,83,0,0
Rautahat,7,5,71,0,0
Bara,20,20,100,0,0
Parsa,0,0,0,0,0
Chitwan,55,54,98,0,0
Gorkha,26,25,96,28,0
Lamjung,51,50,98,0,22
Tanahu,43,35,81,0,54
Syangja,80,82,103,26,4
Kaski,65,37,57,18,0
Manang,29,13,45,9,4
Mustang,14,13,93,4,0
Myagdi,8,6,75,0,2
Parbat,6,6,100,0,0
Baglung,71,55,77,49,0
Gulmi,9,7,78,0,78
Palpa,33,32,97,1,4
Nawalparasi,12,11,92,0,0
Rupandehi,75,75,100,32,0
Kapilvastu,91,52,57,0,0
Arghakhanchi,7,6,86,0,1
Pyuthan,71,46,65,22,0
Rolpa,19,19,100,0,0
Rukum,6,6,100,0,0
Salyan,5,5,100,0,0
Dang,54,42,78,2,5
Banke,10,10,100,0,0
Bardiya,7,7,100,3,0
Surkhet,69,69,100,0,0
Dailekh,10,8,80,0,0
Jajarkot,8,6,75,0,0
Dolpa,12,10,83,0,0
Jumla,44,44,100,0,0
Kalikot,30,20,67,16,9
Mugu,38,37,97,14,0
Humla,7,4,57,1,0
Bajura,47,35,74,0,16
Bajhang,4,3,75,0,0
Achham,96,72,75,20,1
Doti,82,47,57,0,42
Kailali,41,41,100,0,7
Kanchanpur,31,31,100,0,0
Dadeldhura,7,6,86,0,0
Baitadi,95,62,65,0,40
Darchula,80,67,84,0,11
