Region,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
Eastern Mountain,1066,575,552,480,540,517,517,550,506,542,530,532
Eastern Hills,1016,1487,1330,1474,1495,1325,1325,1444,1322,1284,1190,1230
Eastern Terai,52,10,110,11,10,10,6,7,6,6,6,6
East. Dev. Reg.,2134,2072,1992,1965,2046,1852,1848,2001,1834,1832,1726,1768
Central Mountain,771,663,662,501,662,574,574,868,838,798,570,736
Central Hills,3151,1594,1690,1738,1789,1553,1549,1675,1533,2392,1816,1759
Central Terai,1184,601,590,502,627,552,552,318,639,443,266,281
Cent. Dev. Reg.,5106,2858,2942,2741,3078,2679,2675,2861,3010,3633,2652,2776
Western Mountain,816,1079,756,498,858,740,602,748,700,792,721,700
Western Hills,3645,3887,3679,3493,4008,17064,3504,3572,3156,3239,3077,3109
Western Terai,365,255,255,250,265,210,278,398,770,710,570,572
West. Dev. Reg.,4826,5221,4690,4241,5131,4394,4484,4718,4626,4741,4368,4381
Mid-West. Mountain,8080,8080,7680,6915,7449,5585,8255,7876,17095,11277,11006,11838
Mid-West. Hills,6039,5751,5590,5706,5588,4898,5558,5963,6800,28686,6146,6795
Mid-West. Terai,84,84,52,55,50,50,50,45,65,70,69,50
Mid. West. Dev. Reg.,14203,13915,13322,12676,13087,10533,13863,13884,18196,40033,7015,18683
Far-West. Mountain,4095,2855,3492,3632,3365,2699,3138,4369,4500,6006,5557,6450
Far-West. Hills,1470,2142,1180,1165,1205,914,914,1742,1735,2612,2912,2860
Far-West. Terai,158,188,168,160,170,153,665,665,660,670,430,420
Far-West. Dev. Reg.,5723,5185,4840,4957,4740,3766,4717,6776,6895,9288,8899,9730
Nepal,31992,29251,27786,26580,28082,23224,27587,30240,34561,59527,24660,37338
