District,Sanctioned post (Number),Fulfilled Number,Fulfilled %,Filled in contract (Karar) (Number),Recruited using local & other resources (Number)
Taplejung,1,0,0,0,0
Panchthar,1,0,0,0,0
Ilam,0,0,0,0,0
Jhapa,1,0,,0,0
Morang,3,1,33,1,0
Sunsari,1,1,100,0,0
Dhankuta,1,0,0,0,0
Teharthum,1,0,0,0,0
Sankhuwasabha,1,1,100,0,0
Bhojpur,1,0,0,0,0
Solukhumbu,1,1,100,1,0
Okhaldhunga,1,1,100,0,1
Khotang,1,0,0,0,0
Udaypur,1,1,100,0,0
Saptari,1,1,100,0,0
Siraha,1,0,0,0,0
Dhanusha,1,1,100,0,0
Mahottari,1,1,100,0,0
Sarlahi,1,1,100,0,0
Sindhuli,1,1,100,1,0
Ramechhap,1,1,100,0,0
Dolkha,1,1,100,0,0
Sindhupalchowk,1,1,100,0,0
Kavre,2,1,50,0,0
Lalitpur,3,3,100,0,0
Bhaktapur,1,1,100,0,0
Kathmandu,3,3,100,0,0
Nuwakot,1,1,100,0,0
Rasuwa,1,1,100,0,0
Dhading,1,1,100,0,0
Makawanpur,1,1,100,1,0
Rautahat,1,0,0,0,0
Bara,1,1,100,0,0
Parsa,1,1,100,0,0
Chitwan,1,1,100,0,0
Gorkha,1,1,100,0,0
Lamjung,1,1,100,0,0
Tanahu,1,1,100,0,0
Syangja,1,0,0,0,0
Kaski,3,1,33.3,0,0
Manang,1,0,0,0,0
Mustang,1,1,100,0,0
Myagdi,1,1,100,0,0
Parbat,1,0,0,0,0
Baglung,1,1,100,0,0
Gulmi,1,1,100,0,0
Palpa,1,1,100,0,0
Nawalparasi,1,1,100,0,0
Rupandehi,2,1,50,0,0
Kapilvastu,1,1,100,0,0
Arghakhanchi,1,1,100,0,0
Pyuthan,1,0,0,0,0
Rolpa,1,0,0,0,0
Rukum,1,0,0,0,0
Salyan,1,0,0,0,0
Dang,1,3,300,0,0
Banke,3,3,100,0,0
Bardiya,1,1,100,0,0
Surkhet,1,1,100,0,0
Dailekh,1,0,0,0,0
Jajarkot,1,0,0,0,0
Dolpa,1,1,100,0,0
Jumla,1,0,0,0,0
Kalikot,1,0,0,0,0
Mugu,1,0,0,0,0
Humla,1,0,0,0,0
Bajura,1,0,0,0,0
Bajhang,1,0,0,0,0
Achham,1,1,100,0,0
Doti,1,1,100,0,0
Kailali,2,1,50,0,0
Kanchanpur,1,6,600,0,0
Dadeldhura,1,1,100,0,0
Baitadi,1,0,0,0,0
Darchula,1,0,0,0,0
