"CATEGO-
RY",2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17
CATTLE,7090714,7175198,7199260,7226050,7244944,7274022,7243916,7241743,7302808,7347487
"BUFFA-
LOES",4496507,4680486,4836984,4993650,5133139,5241873,5178612,5167737,5168809,5177998
SHEEP,809480,802993,801371,805070,807267,809536,789216,789292,800658,801975
GOAT,8135880,8473082,8844172,9186440,9512958,9786354,10177531,10251569,10986114,11165099
PIGS,1013359,1044498,1064858,1108465,1137489,1160035,1190138,1203230,1291308,1328036
FOWL,24665820,24481286,25760373,40000000,45171185,47959239,48079406,50195285,68630638,70007151
DUCK,390748,383123,379753,378050,376916,375975,390209,390287,392255,394775
"MILKING
COW",915411,932876,954680,974122,998963,1025591,1024513,1025947,1026135,1029529
"MILKING
BUFFA- LOES",1158300,1211495,1252770,1291644,1331037,1369796,1345837,1345164,1355384,1509512
"LAYING
HEN",7153088,7124054,7290875,7478645,7907468,8233616,8350237,8412247,12353515,12388889
"LAYING
DUCK",182753,179187,175300,175150,174978,174714,179447,179480,180927,183940
