Region,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
Eastern Mountain,1028,957,1037,1250,1170,1184,1120,1072,1275,1091,1196,1237
Eastern Hills,6726,7874,7285,6790,6823,6757,6399,6696,8135,8858,8826,11901
Eastern Terai,11527,17781,18917,17750,16306,16256,18829,29656,28885,24623,27420,41003
East. Dev. Reg.,19281,26612,27239,25790,24299,24207,26348,37424,38294,34572,37442,54142
Central Mountain,1329,1442,1442,1442,1442,1442,973,877,722,1243,1543,1439
Central Hills,12191,12386,11765,13070,13334,13620,15460,14564,12256,11558,17851,17642
Central Terai,32602,32193,33295,31401,29978,29978,35214,41358,37904,36006,39433,43356
Cent. Dev. Reg.,46122,46021,46502,45913,44754,45040,49738,56799,50881,51709,58827,62437
Western Mountain,52,51,51,50,45,35,25,34,25,27,27,27
Western Hills,4944,4948,5223,4989,5120,4830,6066,5506,6388,6153,7285,7479
Western Terai,12289,14231,13031,9871,9649,10813,13754,14673,15114,14010,15264,12405
West. Dev. Reg.,17285,19230,18305,14910,14814,15678,19845,20213,21527,20190,22576,19911
Mid-West. Mountain,182,181,176,178,242,211,191,222,218,225,228,231
Mid-West. Hills,5291,4909,4893,5229,5187,5876,7366,7902,7761,7154,8558,8425
Mid-West. Terai,23121,21121,20350,23364,24698,24585,29776,31271,35582,38414,41779,38166
Mid-West. Dev. Reg.,28594,26211,25419,28771,30127,30672,37333,39395,43561,45793,50565,46823
Far-West. Mountain,443,246,356,319,319,168,288,353,581,584,463,481
Far-West. Hills,1257,921,1021,986,1002,932,2273,2155,2364,2235,2804,2760
Far-West. Terai,19883,22747,20480,18971,18971,18797,19225,19847,21937,23917,21860,23059
Far-West. Dev. Reg.,21583,23914,21857,20276,20292,19897,21786,22355,24882,26736,25127,26300
Nepal,132865,141988,139322,135660,134286,135494,155050,176186,179145,179000,194536,209612
