District,Sanctioned post (Number),Fulfilled Number,Fulfilled %,Filled in contract (Karar) (Number),Recruited using local & other resources (Number)
Taplejung,167,87,52,0,0
Panchthar,131,77,59,0,0
Ilam,150,102,68,0,0
Jhapa,200,145,73,21,0
Morang,266,222,83,16,1
Sunsari,211,168,80,0,4
Dhankuta,115,84,73,0,0
Teharthum,0,0,0,0,0
Sankhuwasabha,119,55,46,31,3
Bhojpur,194,94,48,0,33
Solukhumbu,109,72,66,0,7
Okhaldhunga,169,118,70,0,16
Khotang,234,142,61,25,0
Udaypur,152,127,84,16,0
Saptari,470,310,66,0,0
Siraha,438,383,87,57,6
Dhanusha,414,334,81,0,0
Mahottari,304,221,73,0,0
Sarlahi,396,229,58,10,0
Sindhuli,167,99,59,0,0
Ramechhap,171,89,52,0,0
Dolkha,174,101,58,0,0
Sindhupalchowk,244,136,56,9,0
Kavre,280,179,64,0,0
Lalitpur,166,151,91,0,0
Bhaktapur,84,71,85,0,0
Kathmandu,267,247,93,0,0
Nuwakot,202,143,71,0,0
Rasuwa,60,27,45,7,0
Dhading,158,88,56,6,0
Makawanpur,140,91,65,0,0
Rautahat,397,288,73,0,0
Bara,400,216,54,0,68
Parsa,333,205,62,0,7
Chitwan,158,137,87,0,0
Gorkha,211,143,68,13,41
Lamjung,183,108,59,0,4
Tanahu,152,98,64,0,71
Syangja,210,140,67,46,5
Kaski,145,114,79,5,25
Manang,44,25,57,16,9
Mustang,50,23,46,10,0
Myagdi,125,83,66,0,4
Parbat,167,121,72,21,2
Baglung,188,135,72,25,0
Gulmi,246,180,73,0,14
Palpa,199,140,70,36,0
Nawalparasi,307,201,65,77,0
Rupandehi,276,232,84,33,0
Kapilvastu,293,193,66,13,2
Arghakhanchi,128,101,79,29,1
Pyuthan,152,107,70,17,19
Rolpa,134,122,91,14,0
Rukum,148,100,68,27,1
Salyan,145,108,74,0,0
Dang,159,127,80,18,0
Banke,182,138,76,27,3
Bardiya,121,81,67,5,5
Surkhet,161,134,83,22,3
Dailekh,183,126,69,32,10
Jajarkot,99,77,78,16,0
Dolpa,74,44,59,15,0
Jumla,96,84,88,0,19
Kalikot,92,73,79,12,3
Mugu,84,60,71,22,0
Humla,83,65,78,27,11
Bajura,82,63,77,0,22
Bajhang,153,103,67,0,0
Achham,229,139,61,23,8
Doti,164,111,68,0,25
Kailali,189,167,88,0,0
Kanchanpur,83,68,82,0,0
Dadeldhura,75,73,97,0,12
Baitadi,206,96,47,0,10
Darchula,127,98,77,0,8
