District,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
Taplejung,37250,41048,41205,41200,41200,41406,41426,41426,42437,44623,44603,45125
Sankhuwasabha,28900,28900,33900,33020,33020,33186,31712,33500,39228,37089,39367,12620
Solukhumbu,30300,30300,40500,40500,40500,151640,149681,149681,153723,153724,153747,153799
Panchthar,50297,54821,54821,55100,55100,55097,56456,56456,24119,24952,26013,27328
Ilam,60680,64612,64612,53910,53910,87280,87280,87280,90950,91749,91749,91749
Terhathum,22900,22928,23900,28600,22160,27309,27309,27309,30880,33063,33695,34255
Dhankuta,20515,22719,32719,27760,27760,32475,33412,33412,36460,33995,33640,38965
Bhojpur,24080,26142,27150,30120,30650,30648,32100,33100,57485,30075,36755,32335
Khotang,14500,21420,22500,22020,22020,54000,89750,89850,70750,54750,69600,65100
Okhaldhunga,20045,34562,33370,33370,33370,33369,31238,31238,31164,31164,37336,31164
Udayapur,6781,5508,7500,7740,7175,7175,7546,8500,10792,8233,8364,9220
Jhapa,90170,108000,147025,148050,148050,216000,155250,125000,163820,198100,213295,216208
Morang,60701,63750,75092,59890,59890,62310,62205,68700,11025,86250,59850,66240
Sunsari,42500,50750,50750,51100,53360,40673,40673,40673,33860,36610,58500,49200
Saptari,57063,64463,64463,64463,65200,88000,88245,88245,62904,62904,71757,47303
Siraha,12600,15420,18700,16500,16500,18180,18180,18180,19380,24700,24700,24700
Dolakha,20226,20226,26550,26550,26550,27004,27004,28600,27004,32775,36000,36150
Sindhupalchok,39500,40500,40500,40500,40500,58800,58800,58800,62154,60420,60480,63492
Rasuwa,20400,21832,21832,21832,21832,36292,36372,36372,36967,36531,37200,37246
Ramechhap,26600,25245,32000,30430,30430,33440,29260,31300,32903,28605,32598,34940
Sindhuli,14750,17525,16544,15950,15950,1926,14550,17700,17500,17560,18200,20778
Kavrepalanchok,92500,86150,89150,89150,94150,94615,170755,170755,179358,167370,181332,181419
Bhaktapur,17850,17850,19850,19850,20750,22079,23287,23287,23939,20700,20700,42607
Lalitpur,9000,13760,14760,16439,18439,18530,18870,18870,18891,17333,17770,17265
Kathmandu,27080,25595,38165,40150,41150,42036,42036,42036,48010,48010,48010,8500
Nuwakot,21348,20950,22950,23500,24250,32094,32094,32094,52720,63000,65000,72330
Dhading,19830,19032,19032,19032,20500,19980,20118,20118,23672,23466,25487,23514
Makwanpur,52500,54900,58900,58900,59800,41949,60656,61500,67217,71200,67408,73758
Dhanusha,20350,21488,25450,25000,25800,20750,32532,32532,30225,30225,28330,30383
Mahottari,32004,32000,39500,39500,43605,51051,38137,38137,41180,41180,44180,41180
Sarlahi,19690,16875,19762,19702,19702,20499,21180,21180,19980,19980,19390,20580
Rautahat,33526,35526,35526,35526,41580,43260,41750,41750,44286,43601,43601,43601
Bara,110090,110159,128872,129394,130675,135956,132450,132450,168909,169974,169974,101935
Parsa,13992,14333,19500,19500,19975,20783,18950,18950,16400,16400,18400,10000
Chitwan,25955,26850,29160,27815,30500,34780,34780,34780,35057,35717,34089,34608
Manang,8260,8260,8625,7919,7919,9250,9045,9045,6894,9334,7611,7590
Mustang,2240,2330,2330,2308,2308,3200,3210,3210,3200,3200,3200,3535
Gorkha,26795,28440,27759,27759,27759,27552,26519,26519,32672,25434,29924,25924
Lamjung,12000,15280,18879,17920,18879,19066,19066,20500,20060,20242,24305,20880
