Region,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
Eastern Mountain,96450,100248,115605,114720,114720,226232,222819,224607,235388,235436,237717,211544
Eastern Hills,219798,252712,266572,258620,252145,327353,365091,367145,352600,307981,337152,330116
Eastern Terai,263034,302383,356030,340003,343000,425163,364553,340798,290989,408564,428102,403650
East. Dev. Reg.,579282,655343,738207,713343,709865,978748,952463,932550,878977,951981,1002971,945310
Central Mountain,80126,82558,88882,88882,88882,12096,122176,123772,126125,129726,133680,136888
Central Hills,281458,281007,311351,313401,325419,306649,411626,417660,464210,457244,476505,475110
Central Terai,255607,257231,297770,296437,311837,327079,319779,319779,356037,357077,357964,282287
Cent. Dev. Reg.,617191,620796,698003,698720,726138,755824,853581,299342,946372,944047,968149,894285
Western Mountain,10500,10590,10955,10227,10227,12450,12255,12255,10094,12534,10811,11125
Western Hills,117059,124435,149249,150182,150637,149893,159175,164484,172874,170377,172971,162440
Western Terai,72924,75794,86550,81312,98180,85630,91911,91000,99851,89706,112215,88995
West. Dev. Reg.,200483,210819,246754,241721,259044,247673,263341,267739,284519,273337,295997,262560
Mid-West. Mountain,39170,39070,40630,40621,45125,48451,51290,56544,54438,60143,62196,59678
Mid-West. Hills,62802,64142,188658,76887,94715,111613,108689,109119,114698,116855,122598,110892.1
Mid-West. Terai,61694,57959,73325,70450,103151,106236,103421,107691,119880,119244,120180,124328
Mid-West. Dev. Reg.,163666,161171,302613,187958,242991,266300,263400,273354,289016,296242,304974,294898
Far-West. Mountain,18026,17335,18630,18180,18180,20659,26055,26055,25947,24532,26732,26717
Far-West. Hills,22524,22974,26274,28324,144954,27071,31290,32570,64721,59380,63034,64132
Far-West. Terai,42185,20700,54300,55000,57945,127565,127565,114565,94750,115040,127155,98385
Far-West. Dev. Reg.,82735,61009,99204,101504,221079,175295,184910,173190,185418,198952,216921,189234
Nepal,1643357,1709138,2084781,1943246,2159117,2423840,2517695,1946175,2584301,2664559,2789012,2586287
