Region,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015
Eastern Mountain,0,0,0,0,0,-,-,-,0,-,0,0
Eastern Hills,13,13,13,11,11,11,11,33,38,21,107,105
Eastern Terai,1140,862,862,859,859,829,809,81,143,107,99,99
East. Dev. Reg.,1153,875,875,870,870,840,820,114,181,128,205,204
Central Mountain,0,0,0,0,0,0,0,0,0,0,0,0
Central Hills,0,0,0,0,0,0,0,0,0,0,0,0
Central Terai,2074,2035,1737,1672,1645,1563,1525,997,2325,2255,709,709
Cent. Dev. Reg.,2074,2035,1737,1672,1645,1563,1525,997,2325,2255,709,709
Western Mountain,0,0,0,0,0,0,0,0,0,0,0,0
Western Hills,0,0,0,0,0,0,0,0,0,1,2,2
Western Terai,27,27,27,27,35,20,20,-,25,25,1,1
West. Dev. Reg.,27,27,27,27,35,20,20,-,25,26,3,3
Mid-West. Mountain,-,-,-,-,-,-,-,127,14,14,1,1
Mid-West. Hills,-,-,-,-,-,-,-,-,-,-,36,36
Mid-West. Terai,69,69,69,69,69,64,62,-,6,-,0,0
Mid-West. Dev. Reg.,69,69,69,69,69,64,62,127,20,14,37,37
Far-West. Mountain,-,-,-,-,-,-,-,-,6,6,50,8
Far-West. Hills,-,-,-,-,-,-,-,-,-,1,0,0
Far-West. Terai,-,66,10,10,10,10,10,10,-,-,-,-
Far-West. Dev. Reg.,-,66,10,10,10,10,10,10,6,7,50,8
Nepal,3323,3072,2718,2648,2614,2497,2491,1238,2557,2430,1004,2227
