State_Name,State_District_Name,AA_Sample_Units_Total,AA_Sample_Units_Rural,AA_Sample_Units_Urban,AA_Households_Total,AA_Households_Rural,AA_Households_Urban,AA_Population_Total,AA_Population_Rural,AA_Population_Urban,AA_Ever_Married_Women_Aged_15_49_Years_Total,AA_Ever_Married_Women_Aged_15_49_Years_Rural,AA_Ever_Married_Women_Aged_15_49_Years_Urban,AA_Currently_Married_Women_Aged_15_49_Years_Total,AA_Currently_Married_Women_Aged_15_49_Years_Rural,AA_Currently_Married_Women_Aged_15_49_Years_Urban,AA_Children_12_23_Months_Total,AA_Children_12_23_Months_Rural,AA_Children_12_23_Months_Urban
Assam,Barpeta,53,47,6,13711,12765,946,64606,60293,4313,12541,11692,849,11876,11075,801,2371,2261,110
Assam,Bongaigaon,89,73,16,17384,14904,2480,84012,73899,10113,16781,14591,2190,15533,13566,1967,2451,2259,192
Assam,Cachar,105,84,21,27488,24207,3281,127158,112171,14987,23693,20881,2812,21536,18957,2579,5709,5122,587
Assam,Darrang,26,24,2,5951,5769,182,29048,28256,792,5424,5277,147,5027,4886,141,984,950,34
Assam,Dhemaji,121,108,13,14481,12619,1862,75451,66537,8914,14159,12392,1767,13529,11856,1673,3467,3103,364
Assam,Dhubri,42,35,7,11001,9954,1047,50992,46337,4655,10136,9192,944,9498,8624,874,1556,1453,103
Assam,Dibrugarh,91,66,25,21378,16514,4864,97268,76433,20835,19376,15084,4292,18037,14064,3973,3509,2926,583
Assam,Goalpara,64,56,8,15891,14630,1261,75890,70273,5617,15297,14114,1183,14293,13201,1092,3009,2832,177
Assam,Golaghat,70,61,9,16021,14183,1838,72165,64579,7586,14248,12642,1606,13359,11846,1513,2387,2162,225
Assam,Hailakandi,10,8,2,2802,2381,421,13892,11986,1906,2501,2134,367,2267,1925,342,660,610,50
Assam,Jorhat,163,123,40,39114,30471,8643,172958,136355,36603,34941,27355,7586,32640,25582,7058,5966,4927,1039
Assam,Kamrup,151,80,71,39488,20987,18501,167282,97320,69962,32678,18831,13847,30506,17585,12921,4709,3104,1605
Assam,Karbi Anglong,89,74,15,13588,10568,3020,66160,52081,14079,12141,9530,2611,11375,8954,2421,2398,1949,449
