State_Name,State_District_Name,BB_Average_Household_Size_Sc_Total,BB_Average_Household_Size_Sc_Rural,BB_Average_Household_Size_Sc_Urban,BB_Average_Household_Size_St_Total,BB_Average_Household_Size_St_Rural,BB_Average_Household_Size_St_Urban,BB_Average_Household_Size_All_Total,BB_Average_Household_Size_All_Rural,BB_Average_Household_Size_All_Urban,BB_Population_Below_Age_15_Years_Total,BB_Population_Below_Age_15_Years_Rural,BB_Population_Below_Age_15_Years_Urban,BB_Dependency_Ratio_Total,BB_Dependency_Ratio_Rural,BB_Dependency_Ratio_Urban,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Total,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Rural,BB_Currently_Married_Illiterate_Women_Aged_15_49_Years_Urban
Assam,Barpeta,4.8,4.8,4.9,4.7,4.7,4.5,4.7,4.7,4.6,32.1,33.3,22.2,65.4,68.2,45.3,31.7,34.1,12.4
Assam,Bongaigaon,4.7,4.8,4.1,4.7,4.8,3.9,4.8,5,4.1,32,33.7,20.9,62.5,67.1,38.4,32.8,37.2,6.2
Assam,Cachar,4.5,4.5,4.5,4.1,4.1,4,4.6,4.6,4.6,32.1,33.7,25.6,66.1,69.7,52.3,20,23.1,7.4
Assam,Darrang,4.9,4.9,4.8,4.9,5,3.6,4.9,5,4.4,32.1,32.7,19.1,63.5,64.5,40.2,44.1,45.7,0.8
Assam,Dhemaji,5.1,5.1,5,5.7,5.7,5,5.2,5.3,4.8,32.7,33.1,28.3,64.4,65.6,52.5,29.9,31.4,14.1
Assam,Dhubri,4.6,4.6,4.6,4.8,4.7,5.6,4.7,4.7,4.4,35.5,37.6,21.6,72.5,77.9,43.7,33.4,37,9.5
Assam,Dibrugarh,4.6,4.8,4.4,4.5,4.7,4.1,4.5,4.6,4.3,27.5,29,23.1,52.7,55.5,44.8,28.1,33.2,12.6
Assam,Goalpara,4.6,4.6,4.6,4.7,4.7,4.1,4.8,4.8,4.5,34.4,35.2,26,66.8,68.8,47.2,28.5,29.9,13.2
Assam,Golaghat,4.3,4.4,3.7,5.2,5.3,4.3,4.5,4.6,4.1,29.1,29.3,27.7,56.9,57.5,52.7,28.9,31.3,12.7
Assam,Hailakandi,4.7,4.7,4.5,4.8,4.8,4.8,5,5,4.5,35.6,37.9,22.1,72.7,77.8,47.5,22.2,25.6,3.7
Assam,Jorhat,4.4,4.6,4.1,5.2,5.3,3.7,4.4,4.5,4.2,26.2,27.4,22.7,53.5,56.1,46.3,23.8,29,8.6
Assam,Kamrup,4.3,4.7,4,4.2,4.6,3.6,4.1,4.6,3.8,24.9,28.4,21.7,48.3,56.2,41.8,17.8,25.2,11
Assam,Karbi Anglong,4.8,4.9,4.6,5.2,5.1,5.3,4.9,4.9,4.7,31.5,32.8,27.2,59.6,63.5,47.9,25.7,30,11.2
Assam,Karimganj,4.6,4.6,4.7,5.9,6.2,3.5,4.7,4.7,4.6,34.6,35.3,23.4,74.5,76.5,49.1,25,26.6,2.8
Assam,Kokrajhar,4.8,4.8,4.7,4.8,4.9,4.2,4.8,4.9,4.5,33.4,34.4,24.1,65.9,68.1,47.4,44.7,48.2,15.5
Assam,Lakhimpur,5.1,5.2,4.7,5.2,5.3,4.6,5,5,4.6,31,31.9,23.9,60.2,62.3,45.1,25.1,27.4,7.4
Assam,Marigaon,5,5.1,4.5,5,5.1,4.2,5,5,4.3,33.2,33.7,24.6,67.6,68.9,45.5,22,22.9,6.3
Assam,Nagaon,4.5,4.5,3.9,4.6,4.7,3.9,4.6,4.7,4.2,32.4,34.2,24.2,66.9,71.9,48.3,26.2,29.2,13.7
Assam,Nalbari,4.8,4.8,4.4,4.6,4.6,3,4.6,4.6,4.4,26.1,26.3,19.9,55,55.3,46.7,17.5,17.9,5.4
Assam,North Cachar Hills,4.1,3.7,4.3,4.7,4.8,4.7,4.4,4.5,4.3,30.2,31.8,28.8,54.2,59.1,50,15.3,27.1,5.7
