State_Name,State_District_Name,CC_Sex_Ratio_At_Birth_Total,CC_Sex_Ratio_At_Birth_Rural,CC_Sex_Ratio_At_Birth_Urban,CC_Sex_Ratio_0_4_Years_Total,CC_Sex_Ratio_0_4_Years_Rural,CC_Sex_Ratio_0_4_Years_Urban,CC_Sex_Ratio_All_Ages_Total,CC_Sex_Ratio_All_Ages_Rural,CC_Sex_Ratio_All_Ages_Urban
Assam,Barpeta,926,906,1205,936,915,1218,947,946,952
Assam,Bongaigaon,950,967,772,964,981,788,955,955,954
Assam,Cachar,928,909,1028,933,926,969,995,999,979
Assam,Darrang,1003,998,1273,911,913,789,955,955,956
Assam,Dhemaji,988,995,915,971,980,862,954,955,948
Assam,Dhubri,931,929,950,945,934,1065,942,939,962
Assam,Dibrugarh,922,922,923,935,932,949,968,974,950
Assam,Goalpara,922,914,1048,919,914,983,954,955,950
Assam,Golaghat,947,959,859,947,947,944,971,978,921
Assam,Hailakandi,822,835,698,846,850,810,952,954,945
Assam,Jorhat,980,992,941,989,996,962,989,995,972
Assam,Kamrup,1001,990,1015,980,993,966,925,911,938
Assam,Karbi Anglong,928,909,1008,937,914,1043,968,966,972
Assam,Karimganj,925,921,1000,905,905,918,984,983,992
Assam,Kokrajhar,892,888,938,977,973,1029,954,956,937
Assam,Lakhimpur,984,980,1028,1004,1012,922,956,953,977
Assam,Marigaon,914,915,899,932,933,890,969,970,949
Assam,Nagaon,958,952,997,965,963,980,985,992,956
Assam,Nalbari,993,995,893,974,974,978,1044,1045,997
Assam,North Cachar Hills,897,882,912,902,871,934,941,919,961
Assam,Sibsagar,931,935,879,948,947,957,974,978,935
Assam,Sonitpur,957,953,1000,949,944,992,975,978,952
Assam,Tinsukia,954,964,900,957,968,893,976,983,945
Bihar,Araria,909,910,898,903,901,943,919,916,946
Bihar,Aurangabad,985,979,1045,973,970,1008,1015,1021,964
Bihar,Banka,989,994,876,984,984,1000,992,995,922
Bihar,Begusarai,969,982,800,956,962,881,986,990,935
Bihar,Bhagalpur,959,963,940,932,942,877,923,930,894
Bihar,Bhojpur,936,936,933,922,916,969,1003,1021,910
Bihar,Buxar,997,991,1065,963,963,968,991,997,941
Bihar,Darbhanga,878,873,977,869,870,854,915,921,841
Bihar,Gaya,967,951,1039,977,968,1015,1046,1071,965
Bihar,Gopalganj,901,907,825,892,901,775,949,950,930
Bihar,Jamui,976,983,876,955,957,920,1006,1010,958
Bihar,Jehanabad,952,950,969,932,927,983,1010,1009,1018
Bihar,Kaimur (Bhabua),887,892,719,923,929,755,960,963,896
Bihar,Katihar,934,929,1028,948,941,1073,990,996,920
Bihar,Khagaria,927,932,830,921,924,858,900,902,869
Bihar,Kishanganj,967,978,862,990,1004,862,1036,1039,1008
Bihar,Lakhisarai,940,931,1012,919,916,936,963,967,936
Bihar,Madhepura,939,937,1013,938,937,961,914,915,869
Bihar,Madhubani,905,902,1103,889,888,971,920,920,869
Bihar,Munger,940,945,927,925,941,881,930,943,901
Bihar,Muzaffarpur,896,904,776,897,898,883,938,942,895
Bihar,Nalanda,939,956,841,959,971,893,1014,1022,972
Bihar,Nawada,926,922,961,955,956,941,1069,1080,974
Bihar,Pashchim Champaran,980,972,1114,977,974,1028,894,896,871
Bihar,Patna,922,913,936,932,931,933,935,980,888
Bihar,Purba Champaran,896,899,859,902,905,871,901,902,893
Bihar,Purnia,887,886,893,882,889,844,961,971,916
Bihar,Rohtas,918,922,880,932,944,845,998,1003,966
Bihar,Saharsa,920,923,891,915,918,889,919,919,923
Bihar,Samastipur,881,880,918,863,861,901,913,914,889
Bihar,Saran,921,934,833,918,927,861,999,1006,950
Bihar,Sheikhpura,895,897,878,924,924,927,1022,1038,936
