State_Name,State_District_Name,DD_Person_Total,DD_Person_Rural,DD_Person_Urban,DD_Male_Total,DD_Male_Rural,DD_Male_Urban,DD_Female_Total,DD_Female_Rural,DD_Female_Urban
Assam,Barpeta,78.6,77,90.7,85.1,83.7,95.4,71.6,69.8,85.7
Assam,Bongaigaon,79.3,76.6,95.3,85.4,83.2,98,72.9,69.5,92.5
Assam,Cachar,85.3,83.4,92.9,90.5,89.2,95.7,80.3,77.9,90.2
Assam,Darrang,73.9,72.9,97.2,80.7,79.9,98.6,66.8,65.6,95.6
Assam,Dhemaji,81.6,80.8,90.1,88.5,88,93.9,74.4,73.3,86
Assam,Dhubri,77.9,75.3,93.3,83.4,81.4,95.9,72,68.9,90.6
Assam,Dibrugarh,81.7,78.3,91.8,88.3,86,95,74.7,70.3,88.3
Assam,Goalpara,83,82.1,92.7,88.6,87.9,95.9,77.1,75.9,89.2
Assam,Golaghat,81.4,80.1,90.3,87.8,87,93.5,74.7,73,86.9
Assam,Hailakandi,85.8,84,96,91.1,90,97.6,80.4,77.9,94.3
Assam,Jorhat,84.8,81.6,93.9,90.9,89,96.4,78.5,74.1,91.3
Assam,Kamrup,87.5,82.3,91.9,91.5,87.3,95.2,83,76.7,88.3
Assam,Karbi Anglong,85,83.2,90.8,91.6,90.7,94.6,78.2,75.6,86.9
Assam,Karimganj,84,83.1,96.5,90.9,90.4,98.2,77.4,76.2,94.8
Assam,Kokrajhar,72.9,71,89.2,80.3,78.7,94.7,65,63,83.1
Assam,Lakhimpur,84.6,83.3,94.4,90.4,89.5,97.4,78.4,76.7,91.3
Assam,Marigaon,83.6,83,95.2,87.6,87.1,97.5,79.6,78.9,92.7
Assam,Nagaon,81.2,79.2,89.2,85.6,83.9,92.2,76.7,74.4,86
Assam,Nalbari,85.8,85.6,94.1,92.4,92.2,97.7,79.6,79.2,90.5
Assam,North Cachar Hills,91.6,87.1,95.5,95.4,93.8,96.9,87.4,79.7,94
Assam,Sibsagar,83.8,83,93.6,89.7,89.2,95.7,77.6,76.4,91.4
Assam,Sonitpur,76.7,74.4,94.2,83.1,81.2,97.3,70.1,67.4,90.8
Assam,Tinsukia,74.3,70.6,88.8,82.3,79.6,92.5,66,61.3,84.9
Bihar,Araria,63.5,62.1,80,73.2,72.1,86.3,53.5,51.8,73.2
Bihar,Aurangabad,73,72.3,79,83.8,83.3,87,62.6,61.7,70.4
Bihar,Banka,66.2,65.5,82.9,77.1,76.6,89.7,55.7,54.9,75.4
Bihar,Begusarai,72.9,71.5,88.3,81.9,80.9,92.6,64.2,62.6,83.6
Bihar,Bhagalpur,72.2,68.6,85.8,80.3,77.6,90.1,63.7,59.3,81.1
Bihar,Bhojpur,75.8,74,85.5,87.9,87,92.7,63.7,61.3,77.2
Bihar,Buxar,74.6,73.4,86.1,85.3,84.7,91.2,63.8,62.2,80.5
Bihar,Darbhanga,62.9,61.7,78.8,72.7,71.8,83.7,53.1,51.7,73
Bihar,Gaya,70.9,68,80,81.5,79.7,86.6,61,57.4,73.1
Bihar,Gopalganj,70,69.3,78.3,79.4,78.9,85.7,60,59.2,70.2
Bihar,Jamui,63.5,62,81.8,76.1,75.2,86.7,51.5,49.4,76.7
