State_Name,State_District_Name,EE_Marriages_Among_Females_Below_Legal_Age_18_Years_Total,EE_Marriages_Among_Females_Below_Legal_Age_18_Years_Rural,EE_Marriages_Among_Females_Below_Legal_Age_18_Years_Urban,EE_Marriages_Among_Males_Below_Legal_Age_21_Years_Total,EE_Marriages_Among_Males_Below_Legal_Age_21_Years_Rural,EE_Marriages_Among_Males_Below_Legal_Age_21_Years_Urban,EE_Currently_Married_Women_Aged_20_24_Years_Married_Before_Legal_Age_18_Years_Total,EE_Currently_Married_Women_Aged_20_24_Years_Married_Before_Legal_Age_18_Years_Rural,EE_Currently_Married_Women_Aged_20_24_Years_Married_Before_Legal_Age_18_Years_Urban,EE_Currently_Married_Men_Aged_25_29_Years_Married_Before_Legal_Age_21_Years_Total,EE_Currently_Married_Men_Aged_25_29_Years_Married_Before_Legal_Age_21_Years_Rural,EE_Currently_Married_Men_Aged_25_29_Years_Married_Before_Legal_Age_21_Years_Urban,EE_Mean_Age_At_Marriage_Male_Total,EE_Mean_Age_At_Marriage_Male_Rural,EE_Mean_Age_At_Marriage_Male_Urban,EE_Mean_Age_At_Marriage_Female_Total,EE_Mean_Age_At_Marriage_Female_Rural,EE_Mean_Age_At_Marriage_Female_Urban
Assam,Barpeta,6.4,6.8,4,8.8,9.8,2.8,21.5,21.1,25.8,16.2,16,18.3,27.1,26.6,30.2,21.7,21.5,23.1
Assam,Bongaigaon,7.8,8.4,3.6,9.9,10.9,2.4,42.8,44,23.5,23.2,23.6,17,26.9,26.4,30.7,21.7,21.4,23.8
Assam,Cachar,3.9,4.5,1.7,4.1,4.4,3.4,24.2,24,24.8,11.9,11.6,13.4,28.5,28.1,29.7,22.6,22.3,23.6
Assam,Darrang,8.5,8.9,NA,11.1,11.6,NA,40.5,40.9,NA,23.8,23.8,NA,26.9,26.7,NA,22.1,21.9,NA
Assam,Dhemaji,9.3,9.6,5.8,9.5,9.6,7.5,29.4,29.7,25.7,19.3,19.6,14.6,25.9,25.7,28.2,21.5,21.4,22.4
Assam,Dhubri,18.2,19.6,9,15.5,17.9,2.2,56.4,57.8,39,30.9,32.1,14.1,25.3,24.6,30,20.2,19.8,23.1
Assam,Dibrugarh,4.9,5.2,4,7.8,9,3.7,21.9,21.2,24.9,14.8,14.6,16,26.7,26,29,22.6,22.2,23.8
Assam,Goalpara,13,13.7,6.7,14.7,15.8,4.5,56,57.1,40.9,27.7,28.2,20.6,25.4,25.1,27.9,20.8,20.7,21.7
Assam,Golaghat,5.8,6.4,1.7,7.2,7.7,3.4,26.1,26.2,24.8,16.3,16.5,13.6,27.3,27,29.4,22.4,22.2,24
Assam,Hailakandi,6.8,7.2,NA,3.6,4.5,NA,31.4,32.6,NA,14.9,15.7,NA,29.8,29.1,NA,21.6,21,NA
Assam,Jorhat,5.3,5.2,5.5,6.7,7.4,4.4,27.8,27.9,27.8,17.2,18.2,13.8,27.8,27.5,28.9,22.6,22.5,23.2
Assam,Kamrup,3.9,5,3,4.7,6.1,3.4,30.4,30.2,30.6,17.4,16.1,18.8,29.1,28.4,29.6,23.6,22.8,24.4
Assam,Karbi Anglong,6.8,7.4,4.9,8.6,9,7.5,29.6,30.8,24.7,14.5,15.6,10.2,26.7,26.1,28.2,21.8,21.4,22.9
Assam,Karimganj,5.5,5.8,NA,6.4,6.7,NA,29.7,30.4,NA,12,12.5,NA,27.6,27.4,NA,21.7,21.5,NA
Assam,Kokrajhar,9.3,10.4,NA,11.7,12.2,NA,43.3,45.8,NA,23.6,23.3,NA,25.7,25.4,NA,21.4,21.2,NA
Assam,Lakhimpur,9.7,9.5,NA,9.5,9.8,NA,38.1,37.6,NA,15.5,15.8,NA,26.7,26.5,NA,22.1,21.9,NA
Assam,Marigaon,9.3,9.5,4.5,10.8,11.2,4.2,34.9,35.1,31.6,18.4,18.3,19.8,26.5,26.4,28.7,21.8,21.8,23.1
Assam,Nagaon,9.9,11,5,8.8,10.4,1.7,39.3,40.1,34.6,16.7,17.1,14.9,27.1,26.6,29.2,21.5,21.2,22.9
Assam,Nalbari,3.8,3.8,NA,4.4,4.5,NA,23.1,23.1,NA,12.1,12,NA,29.4,29.3,NA,23.2,23.2,NA
Assam,North Cachar Hills,5.2,6.5,4.3,5.4,7.1,4.2,35.7,33.6,37.6,20.6,22,19.4,28.3,27.7,28.7,23.2,23,23.4
Assam,Sibsagar,5.3,5.4,3.4,6.2,6.5,1.5,26.7,26.9,21.7,16.5,16.6,14.9,27.7,27.6,29.3,22.6,22.6,24
Assam,Sonitpur,6.3,6.9,1.4,9.5,10.1,4.7,33.9,34.3,28.6,22.3,22.6,19,27,26.6,30,22.3,22,25
Assam,Tinsukia,7.6,8.4,4.2,9.5,11.1,3.1,28.3,28.4,27.6,23.2,23.4,21.7,26.1,25.5,29,22.1,21.8,23.5
Bihar,Araria,12.2,13.3,NA,14.5,15.4,NA,50,51.3,NA,24.7,25.7,NA,23.5,23.4,NA,20.3,20.1,NA
Bihar,Aurangabad,15.2,15.9,8.6,31.8,33,21.4,55.1,56,46,48.5,49.1,43.4,22.2,22,23.3,19.9,19.8,20.6
Bihar,Banka,16.3,17,NA,18.8,19.3,NA,53.2,54,NA,31.6,32.3,NA,23.6,23.5,NA,19.8,19.8,NA
Bihar,Begusarai,17.8,18.8,NA,20.5,21.5,NA,52,52.3,NA,39.3,39.7,NA,23.1,22.9,NA,20,19.8,NA
Bihar,Bhagalpur,9.8,10.6,5.5,10.6,12.4,2.6,42.3,43,38.9,27.9,28.9,22.8,25.2,24.7,27.9,20.8,20.4,22.8
Bihar,Bhojpur,17.2,18.9,6.7,26.6,29.4,11.9,49.9,51.8,33.1,41.3,42.3,34.8,23.2,22.7,26.2,20.3,20.1,21.9
Bihar,Buxar,21,22.4,7.7,25.3,27.9,5.2,46.4,48,27.3,37.2,38.6,21.7,23,22.8,24.8,19.9,19.8,21
Bihar,Darbhanga,7.5,7.7,4,16.9,17.7,9.4,51.3,52.1,39.1,41.8,43.3,16,23.6,23.3,25.7,20.3,20.2,21
Bihar,Gaya,27.5,30.1,18.8,35.9,40.8,24.1,63.9,66.8,50.4,57.5,62.8,40.9,22.3,21.7,23.9,19.4,19.1,20.4
Bihar,Gopalganj,3.8,3.9,2.4,14.9,15.7,5.9,38.7,38.6,41,38.6,38.8,35.2,23.8,23.8,23.8,21.2,21.2,21.6
Bihar,Jamui,31.6,33.1,NA,33.1,35.5,NA,68.4,70.1,NA,54.4,56.9,NA,21.9,21.6,NA,18.8,18.6,NA
Bihar,Jehanabad,16.6,16.6,17,31,32.7,19.2,58.6,59.2,52.1,56.1,57.1,46.7,22.3,22,24.5,20.1,20,21.1
Bihar,Kaimur (Bhabua),22.1,23,NA,31.7,32.9,NA,56.4,57.3,NA,54.1,55,NA,22,21.9,NA,19.8,19.7,NA
Bihar,Katihar,9.5,9.6,7.1,8.4,9,3.3,42.7,43,36.2,22.9,23.3,17.2,24.7,24.4,26.7,20.3,20.2,21.8
Bihar,Khagaria,16.2,16.7,9.6,14,14.5,7.8,50.5,51.1,35.4,32,32.7,20.2,23.8,23.7,26.3,19.8,19.7,21.2
Bihar,Kishanganj,4.7,5.1,2.2,11.2,11.1,11.9,26,26.1,24.7,17.2,17.5,14.7,24.5,24.4,25.9,20.8,20.6,21.8
Bihar,Lakhisarai,21.5,22.4,15.1,25.5,27.9,8.2,62.9,64.2,52,53.5,55.4,38.9,22.8,22.6,24.5,19.7,19.6,20.4
Bihar,Madhepura,14.1,14.6,NA,20.9,21.6,NA,40.1,40,NA,27.2,27.2,NA,22.9,22.8,NA,19.7,19.6,NA
