State_Name,State_District_Name,FF_Children_Currently_Attending_School_Age_6_17_Years_Person_Total,FF_Children_Currently_Attending_School_Age_6_17_Years_Person_Rural,FF_Children_Currently_Attending_School_Age_6_17_Years_Person_Urban,FF_Children_Currently_Attending_School_Age_6_17_Years_Male_Total,FF_Children_Currently_Attending_School_Age_6_17_Years_Male_Rural,FF_Children_Currently_Attending_School_Age_6_17_Years_Male_Urban,FF_Children_Currently_Attending_School_Age_6_17_Years_Female_Total,FF_Children_Currently_Attending_School_Age_6_17_Years_Female_Rural,FF_Children_Currently_Attending_School_Age_6_17_Years_Female_Urban,FF_Children_Attended_Before_Drop_Out_Age_6_17_Years_Person_Total,FF_Children_Attended_Before_Drop_Out_Age_6_17_Years_Person_Rural,FF_Children_Attended_Before_Drop_Out_Age_6_17_Years_Person_Urban,FF_Children_Attended_Before_Drop_Out_Age_6_17_Years_Male_Total,FF_Children_Attended_Before_Drop_Out_Age_6_17_Years_Male_Rural,FF_Children_Attended_Before_Drop_Out_Age_6_17_Years_Male_Urban,FF_Children_Attended_Before_Drop_Out_Age_6_17_Years_Female_Total,FF_Children_Attended_Before_Drop_Out_Age_6_17_Years_Female_Rural,FF_Children_Attended_Before_Drop_Out_Age_6_17_Years_Female_Urban
Assam,Barpeta,89.6,89.7,88.9,86.5,86.5,85.9,93.1,93.1,92.6,10,10,10.6,13.2,13.2,13.9,6.5,6.5,6.6
Assam,Bongaigaon,90.7,90,96.3,88.1,87.2,95.8,93.5,93.2,96.9,9.2,9.9,3.7,11.9,12.7,4.2,6.3,6.6,3.1
Assam,Cachar,85.5,84.9,88.8,84.8,84.3,87.1,86.4,85.6,90.7,13.2,13.7,10.2,14.1,14.5,11.8,12.2,12.9,8.5
Assam,Darrang,88.2,87.9,NA,86.4,86,NA,90.1,89.8,NA,10.9,11.2,NA,12.7,13.1,NA,9,9.2,NA
Assam,Dhemaji,93.8,93.7,95,93.2,93.1,94.7,94.3,94.2,95.3,5.9,6,4.6,6.5,6.6,4.9,5.4,5.5,4.3
Assam,Dhubri,88.2,88.1,89.6,84.3,84.3,85,92.6,92.4,94,9.7,9.6,9.9,13.1,13,14.3,5.8,5.8,5.8
Assam,Dibrugarh,87.9,86.6,93.2,87.4,86.2,92.3,88.5,87,94.3,10.5,11.8,5.7,11.3,12.5,6.5,9.8,11,4.8
Assam,Goalpara,88.1,88.2,87.9,83.2,83.2,84.1,93.6,93.8,92.1,11.6,11.5,11.9,16.4,16.5,15.7,6.1,6,7.5
Assam,Golaghat,87.3,86.7,92,86.6,86.1,90.4,88,87.4,93.7,11.7,12.1,7.7,12.6,13,9.2,10.6,11.2,5.9
Assam,Hailakandi,85.8,85.5,NA,83.8,83.6,NA,87.9,87.4,NA,13.7,14,NA,15.8,16,NA,11.5,11.9,NA
Assam,Jorhat,88.6,87.7,91.9,88,87.3,90.2,89.3,88,93.7,10.4,11.2,7.5,11.2,11.8,9.1,9.5,10.6,5.6
Assam,Kamrup,93.8,92.4,95.4,92.2,90.3,94.4,95.4,94.6,96.4,6,7.5,4.3,7.6,9.6,5.3,4.3,5.2,3.3
Assam,Karbi Anglong,92.6,91.9,95.5,91.8,91,95,93.5,92.8,96.1,6.8,7.6,4,7.6,8.5,4.5,6,6.6,3.4
Assam,Karimganj,82.8,82.1,NA,83.3,82.6,NA,82.2,81.5,NA,14.5,15.1,NA,14.5,15.1,NA,14.5,15.1,NA
Assam,Kokrajhar,89.3,89.1,NA,88.5,88.2,NA,90.3,90.1,NA,9.7,9.9,NA,10.9,11.1,NA,8.4,8.6,NA
Assam,Lakhimpur,90.6,90.1,NA,90.2,89.8,NA,91,90.5,NA,9,9.4,NA,9.6,10,NA,8.4,8.9,NA
Assam,Marigaon,88.8,88.6,92.9,85,84.7,91.1,92.8,92.7,94.8,11,11.2,6.9,14.7,15,8.6,7.1,7.2,5
Assam,Nagaon,88.1,88,89.2,85.2,85.1,85.8,91.3,91,92.9,10.9,11.1,10.3,13.6,13.7,13.5,8.1,8.3,6.7
Assam,Nalbari,93.6,93.6,NA,92.3,92.2,NA,94.9,95,NA,6.2,6.3,NA,7.5,7.6,NA,4.9,4.9,NA
