State_Name,State_District_Name,GG_Children_Aged_5_14_Years_Engaged_In_Work_Person_Total,GG_Children_Aged_5_14_Years_Engaged_In_Work_Person_Rural,GG_Children_Aged_5_14_Years_Engaged_In_Work_Person_Urban,GG_Children_Aged_5_14_Years_Engaged_In_Work_Male_Total,GG_Children_Aged_5_14_Years_Engaged_In_Work_Male_Rural,GG_Children_Aged_5_14_Years_Engaged_In_Work_Male_Urban,GG_Children_Aged_5_14_Years_Engaged_In_Work_Female_Total,GG_Children_Aged_5_14_Years_Engaged_In_Work_Female_Rural,GG_Children_Aged_5_14_Years_Engaged_In_Work_Female_Urban,GG_Work_Participation_Rate_15_Years_And_Above_Person_Total,GG_Work_Participation_Rate_15_Years_And_Above_Person_Rural,GG_Work_Participation_Rate_15_Years_And_Above_Person_Urban,GG_Work_Participation_Rate_15_Years_And_Above_Male_Total,GG_Work_Participation_Rate_15_Years_And_Above_Male_Rural,GG_Work_Participation_Rate_15_Years_And_Above_Male_Urban,GG_Work_Participation_Rate_15_Years_And_Above_Female_Total,GG_Work_Participation_Rate_15_Years_And_Above_Female_Rural,GG_Work_Participation_Rate_15_Years_And_Above_Female_Urban
Assam,Barpeta,2.2,2.1,3.2,3.8,3.7,5.3,0.5,0.4,0.7,44.6,44.4,45.5,78.5,78.4,78.6,8.4,8.1,10.6
Assam,Bongaigaon,2.3,2.5,0.6,3.8,4.1,1.1,0.7,0.8,0,46.4,46.5,45.7,81.2,82,76.9,9.5,8.7,13.6
Assam,Cachar,3.5,3.6,2.9,5,5.2,4.2,1.8,1.8,1.4,46.1,46.4,45.1,79.1,79.8,76.6,15,15.3,14.2
Assam,Darrang,3.1,3.2,NA,5,5.1,NA,1.1,1.1,NA,48.2,48.7,NA,79.7,80.2,NA,14.6,14.9,NA
Assam,Dhemaji,1.1,1.1,1,1.7,1.7,1.5,0.5,0.5,0.5,48,48.1,46.9,76.6,77,72.8,18.1,17.9,19.6
Assam,Dhubri,3.9,4.1,1.6,6.4,6.7,2.5,1.1,1.1,0.8,52.4,52.8,50.3,82.6,83.4,78.6,20.9,21.2,19.5
Assam,Dibrugarh,3.4,3.8,2.2,4,4.2,3,2.9,3.3,1.3,57.8,60.4,50.4,80.8,81.5,78.8,34,38.6,20.2
Assam,Goalpara,3.2,3.2,3.5,5.5,5.5,5.4,0.7,0.6,1.3,45.5,45.5,45.7,80.2,80.3,79.1,8.3,8.2,9.5
Assam,Golaghat,3.7,3.9,1.7,4.2,4.4,2.5,3.1,3.4,0.8,56.2,56.5,53.9,82.3,82.6,79.9,29.3,29.8,26.3
Assam,Hailakandi,2.9,3.1,NA,5.1,5.5,NA,0.8,0.8,NA,44.2,44.3,NA,78.4,79.5,NA,9.3,8.4,NA
Assam,Jorhat,3.4,3.6,2.8,4.2,4.3,3.9,2.5,2.8,1.7,55.8,58.1,49.5,78.9,79.1,78.5,32.4,36.9,19.7
Assam,Kamrup,1.9,2.1,1.6,2.7,3.1,2.2,0.9,1,0.9,47.2,45.6,48.6,77,77.8,76.4,14,8.5,18.3
Assam,Karbi Anglong,1.3,1.4,0.8,1.8,2,1.2,0.6,0.7,0.3,46.9,47.9,43.8,77.3,78.9,72.5,15.7,16.2,14
Assam,Karimganj,3.5,3.6,NA,5.3,5.5,NA,1.4,1.4,NA,46.5,46.9,NA,78.2,78.5,NA,18,18.6,NA
Assam,Kokrajhar,1.8,1.9,NA,3,3,NA,0.5,0.6,NA,45.7,45.5,NA,78.9,78.8,NA,11.5,11.4,NA
Assam,Lakhimpur,2,2.1,NA,2.6,2.7,NA,1.5,1.6,NA,42.1,42.2,NA,66.7,66.9,NA,15.6,15.3,NA
Assam,Marigaon,3.9,3.9,2.6,6.6,6.7,3.4,1.1,1.1,1.7,46.3,46.2,47.3,82.6,82.8,78.8,9.9,9.6,14.6
Assam,Nagaon,2.6,2.6,2.4,4.4,4.4,4.4,0.7,0.8,0.2,46.7,46.7,46.7,80,80.4,78.7,14.1,14.3,13.5
Assam,Nalbari,1.1,1.1,NA,2.1,2.1,NA,0.2,0.2,NA,40.4,40.3,NA,73.3,73.5,NA,9.1,8.9,NA
Assam,North Cachar Hills,0.6,0.7,0.5,0.7,0.8,0.7,0.4,0.6,0.3,54,55.7,52.6,74.9,75.4,74.5,31.4,34.1,29.2
Assam,Sibsagar,3.5,3.6,1.4,4,4.2,2.2,2.9,3,0.7,55.3,55.9,48,80.2,80.6,76,29.1,30.2,17.1
Assam,Sonitpur,3,3.2,0.6,4.2,4.5,0.9,1.8,1.9,0.2,51.6,52.5,45.6,78.8,79.3,75.3,24.1,25.5,14.3
Assam,Tinsukia,4.2,4.5,2.7,4.7,5,3.2,3.6,3.9,2.2,59.3,61.9,50,81.9,82.4,80.1,35.9,40.7,17.7
Bihar,Araria,7,7.2,NA,7.2,7.4,NA,6.9,7,NA,48.8,49.5,NA,78.4,79,NA,18.7,19.6,NA
Bihar,Aurangabad,1.6,1.6,1,1.7,1.8,0.7,1.4,1.4,1.4,39.3,39.1,40.9,68.2,68.1,68.6,11.9,12,10.9
Bihar,Banka,2.1,2.2,NA,2.7,2.8,NA,1.5,1.5,NA,40.6,40.8,NA,73.8,74,NA,9.8,10,NA
Bihar,Begusarai,2.6,2.7,NA,3.2,3.4,NA,1.9,2,NA,37.5,37.7,NA,67.3,67.9,NA,9.7,9.9,NA
Bihar,Bhagalpur,1.6,1.6,1.4,1.8,1.9,1.4,1.3,1.3,1.3,40.1,40.4,39.1,69.3,70.3,66.3,9,9.3,7.5
Bihar,Bhojpur,1.6,1.6,1.7,1.8,1.7,2,1.4,1.4,1.3,34.3,34.5,33,62.8,64.1,57,5.9,6,5.7
Bihar,Buxar,1.3,1.4,0.5,1.5,1.6,0.7,1.2,1.3,0.4,37.6,37.9,34.8,66.2,66.7,62.2,9.4,9.9,4.8
Bihar,Darbhanga,8.1,8.5,1.5,7.7,7.9,2.7,8.7,9.1,0,38.1,38,38.9,70.7,71.1,66.5,6.8,6.7,7.4
Bihar,Gaya,2.3,2.3,2.5,2.7,2.6,3.2,1.9,1.9,1.7,40,39.5,41.3,69.5,70.2,67.8,13.1,13,13.5
Bihar,Gopalganj,2.3,2.3,2.1,2.7,2.7,3.2,1.8,1.9,1,37.6,37.6,37.3,65.8,65.8,65.1,7.8,7.9,7
Bihar,Jamui,2.1,2,NA,1.9,1.8,NA,2.2,2.3,NA,42.4,42.3,NA,73.7,74.1,NA,13.4,13.5,NA
Bihar,Jehanabad,1.9,1.8,2.2,1.9,1.9,1.7,1.8,1.7,2.8,39.8,40,38.4,68.7,69,65.8,12.2,12.3,11.4
Bihar,Kaimur (Bhabua),1.5,1.5,NA,1.7,1.7,NA,1.2,1.2,NA,42.1,42.1,NA,70.3,70.4,NA,12.9,13,NA
Bihar,Katihar,1.6,1.5,2.8,1.9,1.9,3.2,1.2,1.2,2.4,42.9,43.5,36.5,76.5,77.8,63.6,11.9,12.5,5.6
