State_Name,State_District_Name,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Person_Total,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Person_Rural,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Person_Urban,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Male_Total,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Male_Rural,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Male_Urban,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Female_Total,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Female_Rural,HH_Prevalence_Of_Any_Type_Of_Disability_Per_100000_Population_Female_Urban
Assam,Barpeta,1333,1345,1232,1667,1688,1502,977,981,946
Assam,Bongaigaon,1232,1292,850,1405,1463,1038,1048,1111,652
Assam,Cachar,3200,3266,2924,3520,3577,3285,2885,2962,2559
Assam,Darrang,1506,1498,NA,1652,1617,NA,1351,1372,NA
Assam,Dhemaji,1631,1659,1332,1855,1899,1393,1398,1410,1267
Assam,Dhubri,1691,1723,1478,1865,1849,1971,1506,1590,962
Assam,Dibrugarh,1427,1574,961,1478,1579,1161,1373,1569,747
Assam,Goalpara,2031,2057,1737,2051,2072,1810,2009,2041,1658
Assam,Golaghat,1566,1622,1167,1755,1804,1408,1372,1435,909
Assam,Hailakandi,3011,2825,NA,3307,3087,NA,2702,2552,NA
Assam,Jorhat,1914,1991,1685,2138,2214,1915,1685,1764,1447
Assam,Kamrup,1108,1572,692,1205,1583,860,1001,1559,511
Assam,Karbi Anglong,2036,1662,3314,2285,1878,3679,1776,1437,2936
Assam,Karimganj,3136,3177,NA,3498,3551,NA,2779,2808,NA
Assam,Kokrajhar,1366,1346,NA,1430,1372,NA,1299,1318,NA
Assam,Lakhimpur,1294,1325,NA,1440,1470,NA,1140,1172,NA
Assam,Marigaon,1652,1540,3815,1767,1662,3735,1536,1415,3899
Assam,Nagaon,2483,2562,2149,2552,2648,2153,2414,2476,2145
Assam,Nalbari,2021,2030,NA,2372,2380,NA,1686,1694,NA
Assam,North Cachar Hills,1296,1248,1338,1449,1328,1560,1131,1161,1105
Assam,Sibsagar,1714,1747,1338,1919,1964,1402,1500,1519,1269
Assam,Sonitpur,859,890,612,912,939,700,805,840,519
Assam,Tinsukia,1346,1350,1332,1466,1453,1517,1221,1242,1132
Bihar,Araria,1889,1885,NA,2190,2199,NA,1574,1557,NA
Bihar,Aurangabad,2284,2304,2114,2720,2722,2707,1859,1900,1484
Bihar,Banka,2257,2269,NA,2887,2904,NA,1645,1656,NA
Bihar,Begusarai,2050,2125,NA,2448,2573,NA,1661,1691,NA
Bihar,Bhagalpur,2430,2648,1553,3023,3353,1747,1798,1910,1333
