State_Name,State_District_Name,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Person_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Person_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Person_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Male_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Male_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Male_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Female_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Female_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Severe_Female_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Person_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Person_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Person_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Male_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Male_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Male_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Female_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Female_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Major_Female_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Person_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Person_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Person_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Male_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Male_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Male_Urban,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Female_Total,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Female_Rural,II_Number_Of_Injured_Persons_By_Type_Of_Treatment_Received_Per_100000_Population_Minor_Female_Urban
Assam,Barpeta,107,105,121,160,162,141,50,44,100,168,176,97,264,284,94,66,61,100,566,555,652,767,758,845,351,340,448
Assam,Bongaigaon,54,54,51,73,75,60,33,31,42,34,34,31,53,55,40,13,12,21,62,61,72,94,87,140,28,33,0
Assam,Cachar,1190,1430,188,1431,1733,193,951,1133,182,206,185,292,291,268,386,121,104,196,3105,2479,5716,4043,3639,5700,2179,1341,5733
Assam,Darrang,95,88,NA,162,149,NA,24,24,NA,181,183,NA,238,248,NA,121,115,NA,177,169,NA,198,186,NA,155,151,NA
Assam,Dhemaji,132,132,130,205,205,205,55,56,49,240,245,177,357,363,297,117,123,49,309,315,248,442,449,365,171,176,122
Assam,Dhubri,98,102,67,165,176,88,27,24,46,90,90,90,126,132,88,52,46,92,79,74,112,100,95,131,56,51,92
Assam,Dibrugarh,231,219,269,332,309,404,125,124,126,309,293,361,443,439,453,169,140,263,1299,1437,864,1730,1947,1053,848,906,663
Assam,Goalpara,113,110,148,161,159,177,63,58,116,153,139,314,255,227,568,44,45,39,180,169,296,274,251,532,79,82,39
Assam,Golaghat,116,113,137,155,147,213,75,78,57,446,451,412,571,607,319,316,290,512,2057,1232,7977,3256,1634,14665,819,818,824
Assam,Hailakandi,1063,137,NA,1035,233,NA,1093,37,NA,313,199,NA,352,285,NA,271,110,NA,1201,1190,NA,1536,1452,NA,851,918,NA
Assam,Jorhat,435,270,928,589,369,1239,277,169,604,558,517,683,762,724,876,350,306,482,2444,2460,2397,3269,3333,3081,1600,1571,1685
Assam,Kamrup,104,139,72,118,163,76,88,112,67,120,106,132,159,156,161,77,50,100,221,210,232,300,288,311,135,123,146
Assam,Karbi Anglong,97,88,129,113,112,119,80,63,139,97,103,76,116,124,89,78,82,62,115,115,114,140,155,89,89,74,139
Assam,Karimganj,86,84,NA,130,123,NA,43,46,NA,695,192,NA,1247,231,NA,151,153,NA,1447,1454,NA,1884,1885,NA,1017,1030,NA
Assam,Kokrajhar,6,0,NA,0,0,NA,12,0,NA,21,17,NA,40,32,NA,0,0,NA,77,54,NA,92,65,NA,62,42,NA
Assam,Lakhimpur,294,296,NA,410,407,NA,171,178,NA,379,375,NA,569,566,NA,178,172,NA,407,389,NA,598,571,NA,206,197,NA
Assam,Marigaon,67,61,184,94,86,238,39,35,126,155,146,326,237,224,477,72,68,168,166,156,347,255,243,477,75,68,210
Assam,Nagaon,182,192,140,267,275,237,97,111,38,1753,1549,2616,3110,2653,5000,389,452,115,3811,3667,4420,4998,5152,4361,2618,2191,4481
Assam,Nalbari,291,291,NA,443,448,NA,146,142,NA,403,409,NA,629,640,NA,186,187,NA,852,857,NA,1093,1096,NA,622,628,NA
Assam,North Cachar Hills,130,16,233,137,30,235,123,0,231,86,16,149,87,20,149,84,11,148,356,306,402,430,352,502,277,254,297
Assam,Sibsagar,125,118,195,163,158,216,84,77,173,158,150,251,186,175,324,128,124,173,280,266,446,404,370,809,150,158,58
Assam,Sonitpur,74,71,98,91,83,159,57,60,34,127,121,179,183,172,270,71,69,84,215,201,326,315,291,509,113,111,134
Assam,Tinsukia,109,110,101,154,153,161,61,67,37,235,225,278,327,316,373,139,131,175,283,289,256,379,401,288,182,173,221
Bihar,Araria,68,73,NA,97,104,NA,37,40,NA,95,98,NA,133,135,NA,56,60,NA,182,194,NA,231,249,NA,131,137,NA
Bihar,Aurangabad,572,540,855,642,646,611,504,438,1113,352,343,427,476,455,655,231,236,186,1406,1343,1957,1791,1676,2751,1031,1022,1113
Bihar,Banka,823,822,NA,910,924,NA,738,723,NA,356,347,NA,517,514,NA,200,186,NA,1113,1090,NA,1463,1422,NA,773,769,NA
Bihar,Begusarai,842,878,NA,1023,1064,NA,666,698,NA,564,570,NA,717,730,NA,415,415,NA,1942,1904,NA,2507,2440,NA,1390,1386,NA
Bihar,Bhagalpur,629,693,370,670,738,408,584,646,327,263,266,255,324,339,264,199,189,245,997,992,1020,1265,1244,1344,713,727,653
Bihar,Bhojpur,682,700,580,785,846,473,577,556,702,337,329,377,431,409,540,241,250,191,649,633,736,827,767,1136,467,499,281
Bihar,Buxar,667,648,854,809,768,1192,525,528,489,310,300,406,413,400,534,206,200,266,1599,1616,1430,1955,1966,1850,1239,1265,977
Bihar,Darbhanga,203,193,354,201,171,591,205,214,77,46,46,35,49,47,66,43,45,0,107,112,35,108,116,0,106,108,77
Bihar,Gaya,717,735,656,762,808,618,674,668,695,376,390,328,496,512,445,262,277,206,1817,1542,2724,2463,2102,3583,1201,1022,1828
Bihar,Gopalganj,142,141,166,158,160,135,126,121,200,77,77,71,89,89,90,64,65,50,194,189,261,227,216,360,159,160,150
Bihar,Jamui,682,689,NA,805,821,NA,562,561,NA,353,356,NA,520,511,NA,191,206,NA,962,969,NA,1235,1228,NA,697,720,NA
Bihar,Jehanabad,443,422,622,408,381,647,477,463,597,112,111,120,139,141,120,85,81,119,384,365,555,484,460,693,285,270,418
Bihar,Kaimur (Bhabua),798,796,NA,916,912,NA,675,676,NA,375,382,NA,494,503,NA,251,256,NA,719,713,NA,895,880,NA,535,540,NA
