State_Name,State_District_Name,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Person_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Person_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Male_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Male_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Male_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Female_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Female_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Diarrhoea_Dysentery_Female_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Person_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Person_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Male_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Male_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Male_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Female_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Female_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Acute_Respiratory_Infection_Ari_Female_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Person_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Person_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Male_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Male_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Male_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Female_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Female_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Fever_All_Types_Female_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Person_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Person_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Male_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Male_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Male_Urban,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Female_Total,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Female_Rural,JJ_Persons_Suffering_From_Acute_Illness_Per_100000_Population_Any_Type_Of_Acute_Illness_Female_Urban,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Person_Rural,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Person_Urban,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Male_Total,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Male_Rural,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Male_Urban,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Female_Total,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Female_Rural,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Any_Source_Female_Urban,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Person_Total,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Person_Rural,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Person_Urban,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Male_Total,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Male_Rural,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Male_Urban,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Female_Total,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Female_Rural,JJ_Persons_Suffering_From_Acute_Illness_And_Taking_Treatment_From_Government_Source_Female_Urban
Assam,Barpeta,752,764,652,762,792,516,741,734,797,290,299,217,255,252,282,327,349,149,2721,2731,2634,2711,2693,2864,2731,2772,2390,4064,4103,3746,3975,4002,3756,4158,4210,3735,95.8,95.6,98.1,97,96.8,98.8,94.6,94.4,97.3,33.8,34.7,25.7,33.8,34.8,25.3,33.8,34.6,26
Assam,Bongaigaon,359,377,246,345,365,220,373,389,273,634,655,502,618,633,519,652,678,483,2906,3163,1290,2802,3081,1038,3017,3250,1556,4402,4750,2212,4170,4534,1876,4646,4978,2565,95.8,96,93.5,96.1,96.3,93.6,95.5,95.6,93.4,47.3,47.8,40.6,50.1,50.1,51.1,44.5,45.5,32.5
Assam,Cachar,3368,3780,1653,3521,3949,1766,3217,3614,1538,4453,4607,3813,4342,4539,3533,4563,4673,4097,9987,10046,9738,10280,10731,8432,9697,9375,11061,18766,19382,16198,19012,20040,14794,18524,18737,17620,91.6,91.4,92.7,91.6,91.6,91.8,91.7,91.3,93.5,27.7,27.7,27.9,23.3,24.4,17.4,32.1,31.1,36.7
Assam,Darrang,305,291,NA,299,271,NA,311,312,NA,455,457,NA,436,444,NA,474,471,NA,2054,2098,NA,1816,1837,NA,2307,2375,NA,3415,3451,NA,3120,3143,NA,3729,3779,NA,94.4,94.2,NA,95.5,95.4,NA,93.3,93.2,NA,54.3,54.6,NA,54.4,54.5,NA,54.1,54.7,NA
Assam,Dhemaji,614,627,472,600,607,525,629,648,414,1654,1661,1580,1595,1599,1553,1716,1725,1609,2704,2690,2865,2507,2496,2626,2910,2891,3120,5871,5857,6024,5459,5438,5685,6299,6292,6386,90.7,90.3,94.5,91.7,91.3,95.6,89.8,89.4,93.5,54.8,56,42.9,55.3,56.7,41.6,54.4,55.4,44.1
Assam,Dhubri,778,824,470,794,848,438,760,799,504,674,701,493,755,810,394,587,586,596,3079,3262,1881,2878,3016,1971,3292,3522,1787,5135,5344,3763,4964,5125,3898,5315,5575,3621,95.8,96.3,91.7,96,96.2,94.4,95.7,96.4,88.6,26.3,24.2,47.4,26.4,24.3,45.2,26.2,24.1,50
Assam,Dibrugarh,1445,1582,1012,1491,1628,1063,1397,1535,957,8548,8591,8415,7882,7971,7608,9246,9236,9277,5556,6544,2446,5296,6189,2520,5829,6912,2367,16237,17456,12396,15194,16372,11535,17328,18583,13317,83.3,83.3,83.3,84.3,83.8,86.5,82.4,82.9,80.3,48.3,51.8,33.2,47.6,51.2,32.1,49,52.3,34.3
Assam,Goalpara,1232,1298,499,992,1056,284,1489,1556,732,518,538,296,421,431,319,621,653,270,2968,3060,1940,2818,2912,1774,3128,3218,2120,5201,5375,3271,4666,4822,2945,5774,5966,3624,96.4,96.3,97.7,96.4,96.4,97.6,96.4,96.3,97.9,54.6,54.6,54.9,54.7,54.7,55.6,54.4,54.4,54.3
Assam,Golaghat,2118,2151,1881,2069,2083,1966,2168,2220,1790,9599,9974,6906,9146,9529,6456,10065,10431,7388,4563,4794,2911,4817,5083,2949,4301,4497,2870,16616,17274,11891,16351,17028,11583,16889,17527,12219,86.8,87.2,83,88.1,88.7,81.9,85.5,85.6,84.4,53.5,54.6,41.4,54.7,55.8,41.7,52.3,53.3,41
Assam,Hailakandi,3602,3966,NA,3768,4222,NA,3430,3701,NA,12433,13153,NA,12320,13004,NA,12549,13308,NA,2671,2345,NA,2479,2156,NA,2870,2542,NA,18922,19708,NA,18778,19610,NA,19071,19810,NA,91.5,91.3,NA,94.3,94.3,NA,88.5,88.2,NA,28.8,27.1,NA,26.7,24.9,NA,31,29.6,NA
Assam,Jorhat,1888,2014,1515,1796,1920,1429,1983,2109,1604,11031,11261,10346,10506,10952,9188,11569,11575,11551,3308,3504,2725,3001,3139,2596,3622,3875,2859,17243,17853,15425,16221,16968,14017,18289,18753,16890,86.3,84.7,92.2,87.7,86.8,90.8,85.1,82.7,93.4,36.3,42.1,18.1,37.3,44.2,13.9,35.4,40.1,21.6
Assam,Kamrup,629,789,487,609,739,489,652,843,484,529,645,425,473,560,393,590,739,459,2812,3358,2322,2605,3153,2105,3038,3587,2555,4576,5391,3845,4214,5006,3491,4972,5821,4225,94.5,96.5,91.9,94.9,96.7,92.4,94.1,96.3,91.5,44.1,57.2,26.8,44.3,58.1,25.4,43.9,56.3,28
Assam,Karbi Anglong,1684,1890,978,1772,2007,968,1592,1768,989,10274,9994,11232,9952,9605,11141,10608,10398,11326,3730,3901,3147,3604,3800,2934,3862,4006,3368,15862,15970,15494,15489,15584,15162,16250,16370,15837,91.7,90.4,96.3,94.4,93.5,97.4,89,87.3,95.2,33.3,30.3,43.2,33.4,31.3,40.3,33.3,29.3,46.2
Assam,Karimganj,3245,3368,NA,3301,3418,NA,3189,3320,NA,9790,9266,NA,9772,9237,NA,9809,9294,NA,5671,6001,NA,5518,5841,NA,5822,6160,NA,19004,18953,NA,18870,18792,NA,19137,19111,NA,86.8,86.3,NA,86.7,86,NA,87,86.5,NA,13.1,12.1,NA,14.1,13.4,NA,12,10.9,NA
Assam,Kokrajhar,397,388,NA,369,347,NA,425,431,NA,3225,3349,NA,3147,3245,NA,3307,3457,NA,748,644,NA,872,718,NA,618,566,NA,4766,4769,NA,4699,4617,NA,4837,4927,NA,96.5,96.3,NA,97.4,97.4,NA,95.6,95.2,NA,53.8,56.5,NA,54,57.3,NA,53.5,55.7,NA
