State_Name,State_District_Name,LL_Crude_Birth_Rate_Cbr_Total,LL_Crude_Birth_Rate_Cbr_Rural,LL_Crude_Birth_Rate_Cbr_Urban,LL_Natural_Growth_Rate_Total,LL_Natural_Growth_Rate_Rural,LL_Natural_Growth_Rate_Urban,LL_Total_Fertility_Rate_Total,LL_Total_Fertility_Rate_Rural,LL_Total_Fertility_Rate_Urban,LL_Women_Aged_20_24_Reporting_Birth_Of_Order_2__Above_Total,LL_Women_Aged_20_24_Reporting_Birth_Of_Order_2__Above_Rural,LL_Women_Aged_20_24_Reporting_Birth_Of_Order_2__Above_Urban,LL_Women_Reporting_Birth_Of_Order_3__Above_Total,LL_Women_Reporting_Birth_Of_Order_3__Above_Rural,LL_Women_Reporting_Birth_Of_Order_3__Above_Urban,LL_Women_With_Two_Children_Wanting_No_More_Children_Total,LL_Women_With_Two_Children_Wanting_No_More_Children_Rural,LL_Women_With_Two_Children_Wanting_No_More_Children_Urban,LL_Women_Aged_15_19_Years_Who_Were_Already_Mothers_Or_Pregnant_At_The_Time_Of_Survey_Total,LL_Women_Aged_15_19_Years_Who_Were_Already_Mothers_Or_Pregnant_At_The_Time_Of_Survey_Rural,LL_Women_Aged_15_19_Years_Who_Were_Already_Mothers_Or_Pregnant_At_The_Time_Of_Survey_Urban,LL_Median_Age_At_First_Live_Birth_Of_Women_Aged_15_49_Years_Total,LL_Median_Age_At_First_Live_Birth_Of_Women_Aged_15_49_Years_Rural,LL_Median_Age_At_First_Live_Birth_Of_Women_Aged_15_49_Years_Urban,LL_Median_Age_At_First_Live_Birth_Of_Women_Aged_25_49_Years_Total,LL_Median_Age_At_First_Live_Birth_Of_Women_Aged_25_49_Years_Rural,LL_Median_Age_At_First_Live_Birth_Of_Women_Aged_25_49_Years_Urban,LL_Live_Births_Taking_Place_After_An_Interval_Of_36_Months_Total,LL_Live_Births_Taking_Place_After_An_Interval_Of_36_Months_Rural,LL_Live_Births_Taking_Place_After_An_Interval_Of_36_Months_Urban,LL_Mean_Number_Of_Children_Ever_Born_To_Women_Aged_15_49_Years_Total,LL_Mean_Number_Of_Children_Ever_Born_To_Women_Aged_15_49_Years_Rural,LL_Mean_Number_Of_Children_Ever_Born_To_Women_Aged_15_49_Years_Urban,LL_Mean_Number_Of_Children_Surviving_To_Women_Aged_15_49_Years_Total,LL_Mean_Number_Of_Children_Surviving_To_Women_Aged_15_49_Years_Rural,LL_Mean_Number_Of_Children_Surviving_To_Women_Aged_15_49_Years_Urban,LL_Mean_Number_Of_Children_Ever_Born_To_Women_Aged_45_49_Years_Total,LL_Mean_Number_Of_Children_Ever_Born_To_Women_Aged_45_49_Years_Rural,LL_Mean_Number_Of_Children_Ever_Born_To_Women_Aged_45_49_Years_Urban
Assam,Barpeta,20.4,21.1,14.6,13.8,14.4,8.4,2.4,NA,NA,41.4,42,32.8,33.7,35.2,15.3,82.1,80.6,92.6,42.9,43.7,30,22.7,22.4,25.1,22.4,22.1,24.4,53.3,53.1,56.8,2.7,2.7,2.2,2.4,2.5,2.1,4.1,4.3,3.4
Assam,Bongaigaon,19.2,20.5,11.3,13.1,14.2,6.3,2.1,NA,NA,45.2,46.3,29.2,29.7,31.3,11.8,81.2,78.8,92.6,47.2,47.7,37.5,22.3,21.9,25,21.9,21.5,24.4,49.3,48.3,62.5,2.6,2.7,1.8,2.4,2.5,1.8,3.9,4.3,2.5
Assam,Cachar,25.3,26.2,21.6,18,18.7,15.1,2.9,NA,NA,43.5,43.1,45.8,40.1,42.3,28.4,74.5,70.3,89,40.9,39.3,50,23.3,22.9,25,22.7,22.2,24.7,44.7,44.2,47.5,3.1,3.3,2.5,2.5,2.6,2.2,4.6,4.8,3.6
Assam,Darrang,20.4,20.8,10.8,12.3,12.7,3.9,2.3,NA,NA,48.9,48.7,NA,36.2,36.7,NA,75.4,74.6,NA,58,58,NA,23.1,22.9,NA,22.6,22.5,NA,55.1,55,NA,2.8,2.9,NA,2.5,2.6,NA,4.4,4.5,NA
Assam,Dhemaji,22.6,22.9,19.9,18.1,18.3,15.6,2.4,NA,NA,47.4,47.1,51.4,33.6,33.9,29.4,77.9,77.4,82,54.8,54.3,65.4,23.1,23,24.2,22.8,22.7,23.6,46.8,46.9,46.3,2.8,2.9,2.5,2.6,2.6,2.3,4.5,4.6,3.8
Assam,Dhubri,21.8,22.9,14.6,14.8,15.7,9.2,2.5,NA,NA,58,59.1,41.4,39.7,41.5,19.5,38.3,36.5,47.1,52.4,52.2,56.3,21.3,20.9,24.3,20.9,20.6,23.6,63.6,63.7,61.6,3,3.1,2,2.6,2.7,1.9,4.6,5,3
Assam,Dibrugarh,19.2,20.3,15.8,11.8,12.4,9.9,2,NA,NA,34.1,34.4,33,22.8,24.2,17.3,85.3,82.9,91.7,42,42.2,41.3,23.6,23.2,25,23.2,22.8,24.6,52.5,49.8,64.7,2.4,2.6,2.1,2.1,2.2,1.9,3.6,4,2.9
Assam,Goalpara,21.6,21.9,18.2,15,15.2,12.3,2.4,NA,NA,51.6,52.3,40.6,36.2,36.5,31.6,70.6,69.4,83.6,44.9,44.8,46.4,21.4,21.3,23,21.1,21,22.3,60.1,59.9,63.5,2.8,2.8,2.4,2.6,2.6,2.2,4.5,4.7,3.5
Assam,Golaghat,21.5,21.5,21.2,13.5,13.3,15.2,2.3,NA,NA,32.6,32.6,33,24.7,25.9,15.1,93.5,93.3,94.6,42.4,41.9,50,23.6,23.3,25.7,23.2,22.9,25.6,62.9,61.9,72,2.5,2.6,2,2.1,2.2,1.8,4.1,4.2,3.3
Assam,Hailakandi,30.6,32.5,19.3,23.8,25.6,NA,3.7,NA,NA,52.8,53.6,NA,46.4,49.7,NA,72.4,67.8,NA,38.1,34.8,NA,22.7,22.2,NA,22.1,21.6,NA,41.6,41.1,NA,3.4,3.6,NA,2.8,3,NA,5.6,6.1,NA
