State_Name,State_District_Name,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Total,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Rural,MM_Pregnancy_To_Women_Aged_15_49_Years_Resulting_In_Abortion_Urban,MM_Women_Who_Received_Any_Anc_Before_Abortion_Total,MM_Women_Who_Received_Any_Anc_Before_Abortion_Rural,MM_Women_Who_Received_Any_Anc_Before_Abortion_Urban,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Total,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Rural,MM_Women_Who_Went_For_Ultrasound_Before_Abortion_Urban,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Total,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Rural,MM_Average_Month_Of_Pregnancy_At_The_Time_Of_Abortion_Urban,MM_Abortion_Performed_By_Skilled_Health_Personnel_Total,MM_Abortion_Performed_By_Skilled_Health_Personnel_Rural,MM_Abortion_Performed_By_Skilled_Health_Personnel_Urban,MM_Abortion_Taking_Place_In_Institution_Total,MM_Abortion_Taking_Place_In_Institution_Rural,MM_Abortion_Taking_Place_In_Institution_Urban
Assam,Barpeta,5,5.1,4.7,46.1,45.8,50,22.5,22.3,25,2.9,2.9,3,68.6,67.2,87.5,65.6,64,87.5
Assam,Bongaigaon,3.1,2.9,5.6,30,27.6,44.4,8.6,6.2,22.2,2.5,2.4,2.9,74.1,73.5,77.8,68.3,67.6,72.2
Assam,Cachar,6.9,6.5,9,39.2,37.7,45.3,8.4,7.5,12,3,3,2.8,56,53.9,64,53.4,52.1,58.7
Assam,Darrang,3.9,3.9,NA,58.6,58.1,NA,19.5,18.6,NA,3,3,NA,78.5,77,NA,74.3,72.6,NA
Assam,Dhemaji,14,13.9,14.5,38.9,39.6,30.7,7.4,7.2,9.1,2.2,2.2,2.1,87.7,88.1,81.8,86.2,86.8,79.5
Assam,Dhubri,2.7,2.6,3.5,49.2,49.1,50,10.2,7.4,33.3,3.1,3.2,2.8,54.9,51.5,83.3,54.9,51.5,83.3
Assam,Dibrugarh,8.1,8.5,6.9,49.4,48.4,54.8,21.3,18.2,37.1,2.6,2.7,2.4,73.3,70.4,88.7,72.7,69.9,87
Assam,Goalpara,2.6,2.4,5.2,26.5,25.6,31.3,7.9,6,18.8,2.8,2.8,2.6,78.4,81.1,62.5,69.8,71,62.5
Assam,Golaghat,12.5,12.6,12.1,30.2,28.8,42.6,10.8,8.9,27.7,2.6,2.7,2.5,81.2,80.5,87.3,76.4,75.2,87.3
Assam,Hailakandi,6,5.1,NA,36.3,27.4,NA,21.4,17.9,NA,2.8,2.7,NA,63.1,59.6,NA,61.6,57.7,NA
Assam,Jorhat,16.1,15.5,18.8,33.8,30.3,44.3,13.6,11.6,19.4,2.4,2.5,2.3,82,81.5,83.5,79.1,78.5,80.9
Assam,Kamrup,4.6,3.4,6.1,41.6,41.9,41.3,21.1,17.1,24,2.2,2.3,2.1,84.3,82.6,85.5,80.2,78.4,81.6
Assam,Karbi Anglong,6.9,6.7,7.5,51.2,51.3,50.9,8.9,9.8,5.7,2.6,2.5,2.7,74.3,73.5,77.3,73.6,73.1,75.5
Assam,Karimganj,5.6,5.7,NA,39,38.9,NA,13.3,12.7,NA,3.1,3.1,NA,46.4,46.3,NA,40.3,40.2,NA
Assam,Kokrajhar,1,0.8,NA,65.8,53.8,NA,14.3,7.7,NA,3.2,3,NA,54.4,38.5,NA,54.4,38.5,NA
Assam,Lakhimpur,7.4,7,NA,52.7,52.5,NA,9.5,10.5,NA,2.4,2.4,NA,80.4,80.3,NA,77.1,76.5,NA
Assam,Marigaon,6.9,6.5,16.6,31.1,30.7,34.8,9.7,9.4,13,2.6,2.7,2.2,74.8,73.8,84.8,71.2,70,82.6
Assam,Nagaon,7.9,7.2,12.6,43.9,41.3,53,18.4,15.9,27.3,2.8,2.8,2.8,76,74.8,80.3,71.5,71.6,71.2
Assam,Nalbari,11.3,11.4,NA,31.6,31.4,NA,13.9,13.9,NA,2.4,2.4,NA,83,83,NA,80.9,80.9,NA
Assam,North Cachar Hills,1.8,2,1.7,78.1,68.4,89.5,15.4,10.5,21.1,3,2.8,3.3,87.6,88.6,83.6,79.3,78.5,79.1
Assam,Sibsagar,7.8,8,4.3,39.6,40,28.6,17.2,16.8,28.6,2.7,2.7,2.4,82.2,83.1,57.1,80.4,81.2,57.6
Assam,Sonitpur,3.3,3.3,3.2,37.2,34.2,66.7,19.2,18.9,22.2,2.7,2.7,2.4,77.2,76.5,83.3,74.2,74.4,72.2
Assam,Tinsukia,10.9,10.7,11.7,44.4,44.6,43.5,9.2,7.6,17.7,2.7,2.7,2.3,77.7,76.4,84.6,74.3,72.9,82.3
Bihar,Araria,2.9,3,NA,47.9,46.2,NA,18.9,17.8,NA,3.1,3.1,NA,46.6,45.9,NA,38,36.8,NA
Bihar,Aurangabad,7.5,7.8,4.1,43.1,42.7,50,14,14.7,0,2.8,2.8,2.4,63.4,63.5,60,52.4,52,60
Bihar,Banka,2.2,2.3,NA,36.1,35.4,NA,10.2,9.3,NA,3.4,3.4,NA,72.3,72,NA,53,52.4,NA
Bihar,Begusarai,2.6,2.7,NA,44.3,43.2,NA,26.3,27.7,NA,3.4,3.4,NA,61.7,61.4,NA,47.4,49.7,NA
Bihar,Bhagalpur,1.7,1.8,1.6,48.9,47.3,60,23.2,20.8,40,3.3,3.4,2.8,65.4,60.6,100,58.8,53.1,100
Bihar,Bhojpur,6,5.7,8.8,42.7,43.4,39.4,17.5,18.6,12.1,2.8,2.9,2.3,57.8,58.5,54.5,51.3,52.6,45.5
Bihar,Buxar,5.4,5.2,8.4,44.5,46.2,31.6,14.1,14.6,10.5,3,3,2.8,51.4,51.9,47.4,41,41.5,36.8
Bihar,Darbhanga,5.3,4.8,12.2,62.8,56.2,95.8,49.9,42.4,87.5,2.9,2.8,3,56.5,49.5,91.7,52.7,44.9,91.7
Bihar,Gaya,6.9,6.7,7.8,43.7,43.6,43.8,17.2,15.9,21.9,3,2.9,3.3,68.8,70.6,62.5,57.9,59.3,53.1
Bihar,Gopalganj,6.7,6.9,4.2,41.1,39.9,70,19.1,19,20,2.7,2.8,2.6,50.9,50.5,60,39.4,39.4,40
Bihar,Jamui,3.6,3.4,NA,37.1,37.6,NA,17.5,16.9,NA,2.9,2.9,NA,66.2,63.2,NA,56.1,53.3,NA
Bihar,Jehanabad,3.8,3.6,5.4,44.3,44.3,44.4,10.6,12.1,0,3.3,3.4,2.6,82.1,81.1,88.9,68.2,69.2,61.1
