State_Name,State_District_Name,NN_Current_Usage_Any_Method_Total,NN_Current_Usage_Any_Method_Rural,NN_Current_Usage_Any_Method_Urban,NN_Current_Usage_Any_Modern_Method_Total,NN_Current_Usage_Any_Modern_Method_Rural,NN_Current_Usage_Any_Modern_Method_Urban,NN_Current_Usage_Female_Sterilization_Total,NN_Current_Usage_Female_Sterilization_Rural,NN_Current_Usage_Female_Sterilization_Urban,NN_Current_Usage_Male_Sterilization_Total,NN_Current_Usage_Male_Sterilization_Rural,NN_Current_Usage_Male_Sterilization_Urban,NN_Current_Usage_Copper_T_Iud_Total,NN_Current_Usage_Copper_T_Iud_Rural,NN_Current_Usage_Copper_T_Iud_Urban,NN_Current_Usage_Pills_Total,NN_Current_Usage_Pills_Rural,NN_Current_Usage_Pills_Urban,NN_Current_Usage_Condom_Nirodh_Total,NN_Current_Usage_Condom_Nirodh_Rural,NN_Current_Usage_Condom_Nirodh_Urban,NN_Current_Usage_Emergency_Contraceptive_Pills_Total,NN_Current_Usage_Emergency_Contraceptive_Pills_Rural,NN_Current_Usage_Emergency_Contraceptive_Pills_Urban,NN_Current_Usage_Any_Traditional_Method_Total,NN_Current_Usage_Any_Traditional_Method_Rural,NN_Current_Usage_Any_Traditional_Method_Urban,NN_Current_Usage_Periodic_Abstinence_Total,NN_Current_Usage_Periodic_Abstinence_Rural,NN_Current_Usage_Periodic_Abstinence_Urban,NN_Current_Usage_Withdrawal_Total,NN_Current_Usage_Withdrawal_Rural,NN_Current_Usage_Withdrawal_Urban,NN_Current_Usage_Lam_Total,NN_Current_Usage_Lam_Rural,NN_Current_Usage_Lam_Urban
Assam,Barpeta,74.1,75.5,63.1,39,40.1,30.1,8,7.9,8.6,0.2,0.3,0,1.1,1.2,0.7,28.2,29.4,18.8,1.3,1.2,1.9,0.1,0.1,0.1,35.1,35.4,33,10.7,10.8,10.3,20.2,20.2,20.3,4,4.2,2.4
Assam,Bongaigaon,70.5,70.5,70.5,35.7,36.5,30.6,4.6,4,7.7,0,0.1,0,1.5,1.6,0.6,28.3,30,17.6,1.2,0.6,4.7,0,0,0,34.8,34,39.9,22.2,21.9,23.8,9.2,8.3,14.2,3.3,3.6,1.9
Assam,Cachar,57,55.6,62.9,31.9,30.7,37,13.4,12.5,17.1,0.7,0.6,0.8,0.4,0.4,0.4,11.9,12.1,10.8,5.4,4.8,7.7,0,0,0,25.1,24.9,25.9,12.8,13,12,9.1,8.5,11.6,3.1,3.3,2.2
Assam,Darrang,68,67.8,NA,37.3,37.4,NA,10.2,10.1,NA,0.3,0.3,NA,2.3,2.4,NA,22.4,22.7,NA,1.8,1.7,NA,0,0,NA,30.7,30.5,NA,14.6,14.8,NA,12.9,12.5,NA,2.5,2.6,NA
Assam,Dhemaji,75.2,75.1,76,34.7,35.1,30.3,17.4,17.9,12.4,0.2,0.2,0.3,3.2,3.2,2.4,12.9,12.9,13.1,0.7,0.6,1.5,0.1,0.1,0.2,40.5,40,45.6,24.5,24.2,28.1,10.8,10.5,14,4.9,5,3.4
Assam,Dhubri,49.6,49.8,48.2,34,34.6,29.7,4.8,4.4,7.3,0.1,0.1,0,0.6,0.6,0.6,27.6,28.7,20.2,0.8,0.7,1.6,0,0.1,0,15.6,15.1,18.5,5.6,5.5,6.1,4.4,3.9,8,5.1,5.3,4
Assam,Dibrugarh,65.1,65.5,63.9,43.9,44.3,42.5,30.2,32,24.6,0.4,0.4,0.2,1.1,1.1,0.9,7.3,6.8,8.7,4.6,3.5,7.8,0.3,0.4,0.2,21.3,21.2,21.4,12.2,12.2,12.2,4.2,3.9,5.1,4.4,4.4,4.2
Assam,Goalpara,72.4,72.2,75.3,45,45.3,40.9,6.2,6.1,7.5,0.2,0.1,0.6,1.6,1.8,0.4,35.4,35.9,29.5,1.3,1.2,2.9,0,0,0,27.5,26.9,34.3,12.5,11.9,19.2,8.7,8.5,10.6,5.6,5.8,4
Assam,Golaghat,66,65,72.2,40.3,40.3,40.5,11.4,11,13.8,0.3,0.3,0.2,3.4,3.2,4.7,17.5,17.9,14.6,7.2,7.3,6.9,0.5,0.5,0.3,25.6,24.7,31.7,11.6,11.2,13.8,12,11.7,14.2,1.8,1.5,3.4
Assam,Hailakandi,58.9,57.3,NA,29.9,30.4,NA,9.2,9.5,NA,0.5,0.5,NA,0.7,0.8,NA,11.6,11.9,NA,7.8,7.5,NA,0,0,NA,28.9,26.9,NA,10.8,9.6,NA,14.4,13.3,NA,3.6,3.8,NA
Assam,Jorhat,66.2,66.9,64.1,34.5,34,36.2,15.4,16.3,12.7,0.3,0.4,0.1,2.1,2.4,1.3,11.7,10.9,13.9,4.7,3.7,7.8,0.3,0.3,0.4,31.6,32.9,27.9,12.3,13,10.2,15.5,15.7,14.9,3.6,4,2.7
