State_Name,State_District_Name,OO_Unmet_Need_For_Spacing_Total,OO_Unmet_Need_For_Spacing_Rural,OO_Unmet_Need_For_Spacing_Urban,OO_Unmet_Need_For_Limiting_Total,OO_Unmet_Need_For_Limiting_Rural,OO_Unmet_Need_For_Limiting_Urban,OO_Total_Unmet_Need_Total,OO_Total_Unmet_Need_Rural,OO_Total_Unmet_Need_Urban
Assam,Barpeta,7.2,7.5,5.5,5.2,4.7,9.7,12.5,12.1,15.3
Assam,Bongaigaon,6.6,7.1,3.3,5.2,5.3,4.4,11.8,12.5,7.8
Assam,Cachar,9.4,10.1,6.2,8.8,8.7,9.4,18.2,18.8,15.7
Assam,Darrang,8.2,8.2,NA,6.2,6,NA,14.3,14.2,NA
Assam,Dhemaji,6.1,6.3,3.9,6.1,6.1,6.2,12.2,12.4,10.1
Assam,Dhubri,11.8,12.5,7,7,7.1,6.5,18.8,19.6,13.4
Assam,Dibrugarh,6,6.4,4.7,9.2,8.9,9.9,15.2,15.4,14.6
Assam,Goalpara,6.6,6.9,3.7,6.1,6.1,5.8,12.7,13,9.5
Assam,Golaghat,5.1,5.3,3.9,12.6,12.9,11,17.8,18.2,14.9
Assam,Hailakandi,7.4,8.1,NA,9.8,11.1,NA,17.2,19.2,NA
Assam,Jorhat,4.1,4.3,3.6,11.7,10.9,14.2,15.8,15.2,17.8
Assam,Kamrup,3.7,4.2,3.2,2.1,2.3,1.9,5.8,6.5,5.2
Assam,Karbi Anglong,6.9,7.2,6,6,6.3,5.2,12.9,13.5,11.2
Assam,Karimganj,13,13.3,NA,15,14.6,NA,28,27.9,NA
Assam,Kokrajhar,6.6,7.1,NA,1.1,1.2,NA,7.7,8.3,NA
Assam,Lakhimpur,4.8,4.8,NA,5.1,4.3,NA,9.9,9.2,NA
Assam,Marigaon,7.6,7.8,4.5,5,4.9,6.5,12.7,12.8,10.9
Assam,Nagaon,7,7.4,5.4,11.3,11.5,10.7,18.4,18.9,16.1
Assam,Nalbari,4.9,4.9,NA,5.6,5.5,NA,10.5,10.5,NA
Assam,North Cachar Hills,9,10.3,8,10.3,10.1,10.5,19.3,20.4,18.5
Assam,Sibsagar,4.3,4.3,4.3,10.3,10.5,7.5,14.6,14.8,11.8
Assam,Sonitpur,7.4,7.8,4.8,6,6,6.3,13.4,13.7,11
Assam,Tinsukia,4.9,5.1,4.1,8,7.2,11.4,12.9,12.2,15.5
Bihar,Araria,27.9,27.8,NA,15.3,15.3,NA,43.2,43.1,NA
Bihar,Aurangabad,16,16.3,13.3,11.9,12.3,8.7,27.9,28.6,22
Bihar,Banka,18.4,18.6,NA,16,15.9,NA,34.4,34.4,NA
Bihar,Begusarai,17.8,18,NA,15.5,15.2,NA,33.3,33.2,NA
Bihar,Bhagalpur,18.2,19.4,12.7,15.9,15,19.8,34.1,34.4,32.5
Bihar,Bhojpur,13.3,13.9,9.7,16.3,16.3,15.7,29.6,30.2,25.5
Bihar,Buxar,15.5,15.7,14.4,17.9,17.9,18.5,33.5,33.5,33
Bihar,Darbhanga,14.7,15.4,5.1,16.5,16.2,20.5,31.2,31.6,25.5
Bihar,Gaya,14.8,16.3,9.7,14.2,15.5,10,29,31.9,19.7
Bihar,Gopalganj,26.2,27.2,14.5,27.5,28.2,17.8,53.7,55.4,32.3
Bihar,Jamui,16.4,16.9,NA,17.6,16.8,NA,34,33.7,NA
Bihar,Jehanabad,12.1,12,13.1,13.8,13.3,18.6,26,25.3,31.6
Bihar,Kaimur (Bhabua),13,13.2,NA,16.1,16.1,NA,29.1,29.3,NA
Bihar,Katihar,23.5,24.3,13.8,15.7,16.6,3.9,39.2,40.9,17.7
Bihar,Khagaria,19.4,18.9,26.9,12.8,12.7,14.9,32.2,31.5,41.8
Bihar,Kishanganj,19.7,21.3,8,19,18.8,20.2,38.7,40.1,28.3
Bihar,Lakhisarai,14.9,15.2,13.3,17.2,17.8,13.4,32.1,32.9,26.7
