State_Name,State_District_Name,PP_Currently_Married_Pregnant_Women_Aged_15_49_Years_Registered_For_Anc_Total,PP_Currently_Married_Pregnant_Women_Aged_15_49_Years_Registered_For_Anc_Rural,PP_Currently_Married_Pregnant_Women_Aged_15_49_Years_Registered_For_Anc_Urban,PP_Mothers_Who_Received_Any_Antenatal_Check_Up_Total,PP_Mothers_Who_Received_Any_Antenatal_Check_Up_Rural,PP_Mothers_Who_Received_Any_Antenatal_Check_Up_Urban,PP_Mothers_Who_Had_Antenatal_Check_Up_In_First_Trimester_Total,PP_Mothers_Who_Had_Antenatal_Check_Up_In_First_Trimester_Rural,PP_Mothers_Who_Had_Antenatal_Check_Up_In_First_Trimester_Urban,PP_Mothers_Who_Received_3_Or_More_Antenatal_Care_Total,PP_Mothers_Who_Received_3_Or_More_Antenatal_Care_Rural,PP_Mothers_Who_Received_3_Or_More_Antenatal_Care_Urban,PP_Mothers_Who_Received_At_Least_One_Tetanus_Toxoid_Tt_Injection_Total,PP_Mothers_Who_Received_At_Least_One_Tetanus_Toxoid_Tt_Injection_Rural,PP_Mothers_Who_Received_At_Least_One_Tetanus_Toxoid_Tt_Injection_Urban,PP_Mothers_Who_Consumed_Ifa_For_100_Days_Or_More_Total,PP_Mothers_Who_Consumed_Ifa_For_100_Days_Or_More_Rural,PP_Mothers_Who_Consumed_Ifa_For_100_Days_Or_More_Urban,PP_Mothers_Who_Had_Full_Antenatal_Check_Up_Total,PP_Mothers_Who_Had_Full_Antenatal_Check_Up_Rural,PP_Mothers_Who_Had_Full_Antenatal_Check_Up_Urban,PP_Mothers_Who_Received_Anc_From_Govt_Source_Total,PP_Mothers_Who_Received_Anc_From_Govt_Source_Rural,PP_Mothers_Who_Received_Anc_From_Govt_Source_Urban,PP_Mothers_Whose_Blood_Pressure_Bp_Taken_Total,PP_Mothers_Whose_Blood_Pressure_Bp_Taken_Rural,PP_Mothers_Whose_Blood_Pressure_Bp_Taken_Urban,PP_Mothers_Whose_Blood_Taken_For_Hb_Total,PP_Mothers_Whose_Blood_Taken_For_Hb_Rural,PP_Mothers_Whose_Blood_Taken_For_Hb_Urban,PP_Mothers_Who_Underwent_Ultrasound_Total,PP_Mothers_Who_Underwent_Ultrasound_Rural,PP_Mothers_Who_Underwent_Ultrasound_Urban
Assam,Barpeta,70.7,69.2,94.7,94,93.7,98.1,35.7,34.7,47.8,55.6,53.6,78.3,94,93.7,98.1,18.9,17.9,30.6,14,12.9,27.4,89.6,91,74,84.7,83.9,94.3,44.7,42.5,70.1,29.8,28,51.6
Assam,Bongaigaon,76.1,75.2,87.5,92.6,92.1,98.6,43.7,41.6,66.9,59.5,57.4,83.4,92.5,92,97.9,21.1,20.4,29,16.3,15.4,26.9,92.9,95.3,67.7,80,78.9,92.1,41.2,38,77.6,23.6,20.4,59.7
Assam,Cachar,78.5,78.1,81.7,95.6,95.2,97.7,57.8,56.2,66.7,66.5,64.6,77,95.3,94.9,97.2,21.5,20.6,26.5,17.8,16.7,24,50.3,52.3,39.8,84.1,82.4,93,85.7,84.5,92.4,83.3,82.2,89.7
Assam,Darrang,86.5,86,NA,91.3,90.9,NA,39.9,39.5,NA,51.9,51.2,NA,91.3,90.9,NA,29.4,28.1,NA,17.1,16,NA,91.3,92.5,NA,82.8,82.5,NA,54.7,54,NA,29.8,28.2,NA
Assam,Dhemaji,75.9,75.7,80,94.9,95,94.3,60.8,60.3,66.1,66.9,66.8,68.7,94.7,94.8,94.3,14.4,13.7,23,11,10.6,16,92.4,93.1,84.2,83.7,83.3,88,45.4,45.2,48.1,22.8,22,32.2
Assam,Dhubri,64.9,62.9,94.7,88.7,87.8,97.9,33.4,31.8,50.7,39.7,37.4,64.6,88.6,87.7,97.9,14.3,13.9,18.8,7.6,7.1,13.2,94.1,95,85.1,72.6,71.6,83.3,29.4,27,54.9,17.3,14.7,45.1
Assam,Dibrugarh,86,84.2,95,97.3,97,98.6,68,66,76.2,84.8,83.5,90.1,97.2,96.9,98.2,32.8,33.5,29.9,29.3,29.4,29.1,66.3,67.4,61.9,96.4,95.9,98.2,93.1,93.2,92.5,91.3,90.5,94.1
Assam,Goalpara,76.2,75.6,88.9,94.8,94.6,97.8,40.8,40,51.7,65.4,65,70.6,94.8,94.6,97.8,18,17.8,21.2,14.6,14.3,19,97.5,97.9,91.6,73.7,72.8,85.5,38.4,38,43.9,18.4,17.3,33.5
Assam,Golaghat,82.8,82.2,87.2,96.1,95.8,98.2,65.9,64.7,76.1,75,73.5,87.2,95.8,95.6,98.2,21.8,22.1,19.3,18.4,18.4,18.3,76.8,79.4,55.5,93.1,92.8,96.3,88.7,87.7,96.3,84.8,84.4,88.1
Assam,Hailakandi,74.6,73.2,NA,93.8,93.4,NA,53.5,50.9,NA,64,61.7,NA,93.6,93.1,NA,14.8,15.1,NA,12.2,12.5,NA,54.6,56,NA,81.5,80.5,NA,52.7,52.7,NA,16.1,13.1,NA
Assam,Jorhat,88.7,88.3,89.9,97.6,97.6,97.9,72.6,70.1,81.5,82.3,81.5,85.4,97.3,97.3,97.2,27.1,24.1,37.8,24.3,21.3,35.4,72.5,76,59.9,94.9,94.8,95.4,91.3,90.9,92.5,92.5,92.4,92.8
