State_Name,State_District_Name,QQ_Institutional_Delivery_Total,QQ_Institutional_Delivery_Rural,QQ_Institutional_Delivery_Urban,QQ_Delivery_At_Government_Institution_Total,QQ_Delivery_At_Government_Institution_Rural,QQ_Delivery_At_Government_Institution_Urban,QQ_Delivery_At_Private_Institution_Total,QQ_Delivery_At_Private_Institution_Rural,QQ_Delivery_At_Private_Institution_Urban,QQ_Delivery_At_Home_Total,QQ_Delivery_At_Home_Rural,QQ_Delivery_At_Home_Urban,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Total,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Rural,QQ_Delivery_At_Home_Conducted_By_Skilled_Health_Personnel_Urban,QQ_Safe_Delivery_Total,QQ_Safe_Delivery_Rural,QQ_Safe_Delivery_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Government_Institutions_Urban,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Total,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Rural,QQ_Caesarean_Out_Of_Total_Delivery_Taken_Place_In_Private_Institutions_Urban
Assam,Barpeta,52.3,49.6,84.7,45,44,56.7,7.3,5.5,28,47.4,50.2,14.6,19.8,19.6,26.1,57.6,55.1,87.3,10.6,9.9,16.9,64,62.2,68.2
Assam,Bongaigaon,54.8,52,86.6,49.1,48.6,54.8,5.5,3.2,31.7,45.1,47.9,12.8,34.8,34.4,54.1,65,62.7,90.7,7.9,6.1,25.2,60.9,58.1,64.1
Assam,Cachar,64.8,61.5,82.4,54.1,53.6,57.1,10.3,7.5,25.2,34.9,38.1,17.3,35.7,35.3,41.2,69.4,66.6,84.3,8.6,7.4,15.1,54.3,46.3,67.1
Assam,Darrang,63,62.4,NA,57.6,57.7,NA,5.3,4.5,NA,36.6,37.2,NA,24,23.1,NA,67.1,66.3,NA,6.7,6.4,NA,66.6,63.6,NA
Assam,Dhemaji,72.3,71.6,80.3,69.5,69.3,71.3,2.7,2.2,8.5,27.1,27.8,19.5,24.9,24.8,25.8,77.3,76.7,84.5,9,8.6,13.2,44.5,42.3,51.3
Assam,Dhubri,42.4,38.7,82.6,39.3,36.8,66.7,3.1,1.9,16,57.3,61,16.7,23,22.9,29.2,50.7,47.4,87.5,6.2,4.3,17.7,45.3,46.6,43.5
Assam,Dibrugarh,81.2,79.3,89.1,54.7,55.4,51.8,26.5,23.9,37.3,18.6,20.5,10.8,36.4,36.6,35.3,86.5,85.1,92.4,18.3,16.9,24.1,35.2,22.8,67.2
Assam,Goalpara,55.6,54.7,68,51.3,51,54.3,4.4,3.7,13.8,44.2,45.1,32,36,35.7,43,67.2,66.5,77.7,6.7,6.2,12.3,60.2,58.1,67.6
Assam,Golaghat,73,71.3,87.5,59.6,61.7,42.2,13.4,9.6,45.3,26.6,28.3,12.2,43.9,44,42.5,82.2,81,92.4,7.3,6.6,15.9,51,46.1,59.5
Assam,Hailakandi,42.1,37.5,NA,35.9,34.9,NA,6.2,2.5,NA,57.8,62.4,NA,24.4,24.3,NA,45.2,40.9,NA,10.6,10.2,NA,65.4,65.3,NA
Assam,Jorhat,80.8,80.3,82.5,64.9,69,50.1,15.6,11.2,31.8,18.4,18.8,17.1,39.8,37.4,49.4,86.1,85.5,88.2,14.9,13.2,23.4,45.8,36.4,57.9
Assam,Kamrup,84.7,82.1,87.9,64.4,74.9,51,20.1,7,36.8,15.1,17.7,11.9,26.6,24.1,31.4,87.4,84.9,90.7,18.4,14.4,25.9,56.2,46.2,58.6
Assam,Karbi Anglong,59.5,54.6,80.1,55.3,51.2,72.4,4.2,3.4,7.7,40.3,45.3,19.9,33.2,33.3,32.8,68.9,65.1,84.8,8.1,5.9,14.7,56,52.9,61.7
Assam,Karimganj,38.2,36.7,NA,30.2,30.4,NA,6.1,4.7,NA,61.6,63.1,NA,24.5,24.6,NA,44.1,42.8,NA,6.4,5.9,NA,55.1,57.5,NA
