State_Name,State_District_Name,RR_Less_Than_24_Hrs_Stay_In_Institution_After_Delivery_Total,RR_Less_Than_24_Hrs_Stay_In_Institution_After_Delivery_Rural,RR_Less_Than_24_Hrs_Stay_In_Institution_After_Delivery_Urban,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Total,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Rural,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_48_Hrs_Of_Delivery_Urban,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_1_Week_Of_Delivery_Total,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_1_Week_Of_Delivery_Rural,RR_Mothers_Who_Received_Post_Natal_Check_Up_Within_1_Week_Of_Delivery_Urban,RR_Mothers_Who_Did_Not_Receive_Any_Post_Natal_Check_Up_Total,RR_Mothers_Who_Did_Not_Receive_Any_Post_Natal_Check_Up_Rural,RR_Mothers_Who_Did_Not_Receive_Any_Post_Natal_Check_Up_Urban,RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Total,RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Rural,RR_New_Borns_Who_Were_Checked_Up_Within_24_Hrs_Of_Birth_Urban
Assam,Barpeta,30.3,32,18.8,50.1,47.7,79,56.2,53.9,82.2,43.3,45.6,16.6,50.2,47.8,78.2
Assam,Bongaigaon,24.4,25,20.3,51.3,48.5,82.4,55.3,52.6,85.2,44.4,47,14.8,49.1,46.4,78.5
Assam,Cachar,27.9,32.7,8.7,66.8,63.3,85.4,69.7,66.3,87.6,26.2,29.3,9.8,63.5,60.2,81.4
Assam,Darrang,17.5,17.8,NA,63.8,63.3,NA,66.9,66.2,NA,33.1,33.8,NA,59.6,59.2,NA
Assam,Dhemaji,48.3,48,51.2,67.2,66.7,74,70.7,70.2,77.5,28.1,28.6,21.4,68.4,67.6,76.9
Assam,Dhubri,31.8,34.6,17.6,47.5,44.1,83.3,52.1,49.1,84.7,46.9,50.1,13.2,45.8,43.3,72.9
Assam,Dibrugarh,13.7,14.2,11.9,81.7,79.8,89.4,84.1,82.7,90.2,12.3,13.3,8.1,78.3,77.1,83.1
Assam,Goalpara,32.5,33.9,18,51.2,50.8,56.5,55.9,55.6,59.5,42.7,42.9,39.4,48.6,48.1,54.6
Assam,Golaghat,25.5,27.3,13.3,79.4,78.2,89.9,81.9,80.9,91.4,17.1,18.3,7.3,73.9,72.2,87.5
Assam,Hailakandi,14.8,16.1,NA,46.4,42.2,NA,47.9,43.9,NA,45.8,49.5,NA,39,35.5,NA
