State_Name,State_District_Name,SS_Mothers_Who_Availed_Financial_Assistance_For_Delivery_Under_Jsy_Total,SS_Mothers_Who_Availed_Financial_Assistance_For_Delivery_Under_Jsy_Rural,SS_Mothers_Who_Availed_Financial_Assistance_For_Delivery_Under_Jsy_Urban,SS_Mothers_Who_Availed_Financial_Assistance_For_Institutional_Delivery_Under_Jsy_Total,SS_Mothers_Who_Availed_Financial_Assistance_For_Institutional_Delivery_Under_Jsy_Rural,SS_Mothers_Who_Availed_Financial_Assistance_For_Institutional_Delivery_Under_Jsy_Urban,SS_Mothers_Who_Availed_Financial_Assistance_For_Government_Institutional_Delivery_Under_Jsy_Total,SS_Mothers_Who_Availed_Financial_Assistance_For_Government_Institutional_Delivery_Under_Jsy_Rural,SS_Mothers_Who_Availed_Financial_Assistance_For_Government_Institutional_Delivery_Under_Jsy_Urban
Assam,Barpeta,41.8,41,50.3,77.8,80.5,59.4,89.2,89.7,84.3
Assam,Bongaigaon,51.7,52.3,45.5,85.6,90.6,51.8,93.3,94.8,78.6
Assam,Cachar,53,53.5,50.7,79,83.5,61.1,91.7,93.1,84.4
Assam,Darrang,54.3,54.7,NA,81.8,83,NA,87.1,87.3,NA
Assam,Dhemaji,76.3,76.7,71.6,94.5,95.3,85.2,96.6,96.9,92.9
Assam,Dhubri,39.3,37.4,59.7,84.2,86.5,72.3,89.5,90.1,86.5
Assam,Dibrugarh,63.7,67.4,48.5,76.9,83.3,54,91.3,92.3,87
Assam,Goalpara,50.2,50.3,48.7,85.5,87.1,68.9,91.5,92.2,83.6
Assam,Golaghat,63.4,65.2,48.6,81.8,85.7,55.6,95.6,95.4,97.1
Assam,Hailakandi,39.2,38.5,NA,80.7,88,NA,89.6,92.1,NA
Assam,Jorhat,66,72,44.2,79.9,87.3,53.6,92.5,94.2,84
Assam,Kamrup,57.7,69.8,42.3,65.2,81.6,45.6,81.8,87.4,71.2
Assam,Karbi Anglong,57.5,54.3,71.2,88.4,89.5,85.1,93.7,94.3,91.9
Assam,Karimganj,34,34.1,NA,78.8,81.9,NA,89.9,90.5,NA
Assam,Kokrajhar,54.2,53.9,NA,88.3,89.6,NA,91,91,NA
Assam,Lakhimpur,78.5,79.2,NA,90.3,91.3,NA,94.1,94.3,NA
Assam,Marigaon,64.5,64.3,68.4,91.8,92.3,80.4,95.6,95.6,94
Assam,Nagaon,46.2,45.2,52.7,78.4,81.6,64,91.2,92.4,85.3
Assam,Nalbari,73.2,73.5,NA,81.6,82,NA,94.1,94,NA
Assam,North Cachar Hills,64.8,54.6,75.2,89.1,90.2,88.3,91.7,93.6,90.4
Assam,Sibsagar,77,78.8,50.3,86.4,88.9,53.3,94.1,94.6,84.4
Assam,Sonitpur,53.9,55.2,41,77.8,81.6,49.5,90.2,90.9,83.4
Assam,Tinsukia,63.5,66.3,47.3,81.5,87.2,53.5,93.9,94.9,88.2
Bihar,Araria,40.2,39.2,NA,82.8,83.3,NA,97.6,97.9,NA
Bihar,Aurangabad,43.9,43.7,45.2,70.2,70.1,71,93.1,93,94.1
Bihar,Banka,50.9,50.6,NA,76.6,77.1,NA,95.1,95,NA
Bihar,Begusarai,46.3,47.2,NA,67.9,70.1,NA,89.9,90,NA
Bihar,Bhagalpur,44.4,46.5,31.8,68.4,73,43.5,92.8,93.8,85
Bihar,Bhojpur,42.7,42.9,40.9,58.6,60.3,47.9,90.9,91,90
Bihar,Buxar,44.6,46.5,20.4,61.2,63.3,31.7,93.6,94.2,79.2
Bihar,Darbhanga,24.7,23.8,37,73.1,74.8,61.4,90.5,92,72.2
Bihar,Gaya,30.6,31.4,27.4,56.6,61.4,41.7,94.9,94.3,97.7
Bihar,Gopalganj,49.4,49.9,42,78,79.2,61.5,92.5,93.2,81
Bihar,Jamui,40.1,39.3,NA,70.2,70.3,NA,93.6,93.5,NA
Bihar,Jehanabad,52.9,54.4,37.1,71.7,73.5,51.8,94.7,94.7,94.4
Bihar,Kaimur (Bhabua),43.3,42.9,NA,59.8,59.6,NA,91.4,91.1,NA
Bihar,Katihar,33.9,33.5,42.4,75.6,78.2,53.5,89.2,90.1,77.4
Bihar,Khagaria,57.2,57,60.8,85.7,86.5,74.7,93.3,93.1,96.9
Bihar,Kishanganj,40.8,39.2,59.1,75.6,75.3,76.9,89.8,90,88.7
Bihar,Lakhisarai,41.7,41.7,41.7,65.6,67.1,55.4,91.1,91.2,89.9
Bihar,Madhepura,39.7,39.7,NA,74.5,75.1,NA,84.4,84.6,NA
Bihar,Madhubani,27.7,27.5,NA,66.8,67.7,NA,81.5,81.5,NA
Bihar,Munger,52.6,57.8,37.6,67.1,75,44.8,93.1,94.7,86.1
Bihar,Muzaffarpur,36.8,37.5,25.2,68.7,72,31.5,86.5,87.2,71.1
Bihar,Nalanda,47.6,49.2,37.5,67.1,69.5,52.2,93,92.9,93.5
Bihar,Nawada,42,41.8,43.9,64.8,65.6,58,87.5,87.1,91.5
Bihar,Pashchim Champaran,49.5,49.6,48.2,78.4,79.3,66.7,95.6,95.8,92.6
Bihar,Patna,41,46.7,31.3,52.5,63.5,36.3,89.7,92.4,83.3
Bihar,Purba Champaran,28.7,29.4,NA,63.4,67.1,NA,84.4,87.3,NA
Bihar,Purnia,47.5,51.3,NA,80.2,83.7,NA,94.7,95.5,NA
Bihar,Rohtas,39.1,40.9,23.2,53,56.1,27.1,93.6,94.1,84.7
Bihar,Saharsa,39.7,38.1,55.1,83.8,86.1,73.1,93.3,93.5,92.1
Bihar,Samastipur,55.8,56.4,NA,86.2,88.1,NA,96.3,96.4,NA
Bihar,Saran,41.1,41.8,34.8,75.2,76.8,62.4,91.6,92.9,80.9
Bihar,Sheikhpura,54.2,55.3,44.4,74,76.3,56.3,96.3,96.5,94
Bihar,Sheohar,23.2,23,NA,69.7,68.8,NA,90,89.5,NA
Bihar,Sitamarhi,31,29.6,NA,73.3,72.4,NA,89.2,88.4,NA
Bihar,Siwan,43.9,43.9,43.9,73.2,75.1,60.6,86.5,87.4,79.5
Bihar,Supaul,47.7,46.9,NA,80.8,81.7,NA,93.2,93.2,NA
Bihar,Vaishali,46.3,46.7,37.6,70.6,71.7,49.5,83.3,83.6,77.1
Chhattisgarh,Bastar,67.3,67.61,63.88,96.28,97.64,83.16,98.52,99.14,90.97
Chhattisgarh,Bilaspur,26.31,22.16,38,71.96,76.68,63.93,81.13,81.51,80.34
Chhattisgarh,Dantewada,44.36,44.45,43.77,84.68,91.55,56.01,92.68,94.72,72.12
Chhattisgarh,Dhamtari,46.72,46.09,51.84,85.1,86.72,75,96.51,96.87,93.13
Chhattisgarh,Durg,33.13,33.57,32.23,63.27,73.47,51.97,79.9,81.8,74.59
Chhattisgarh,Janjgir-Champa,21.42,20.94,26.44,66.47,67.74,58.54,75.81,76.92,68.48
Chhattisgarh,Jashpur,34.16,33.85,NA,82.41,83.37,NA,83.48,83.3,NA
Chhattisgarh,Kanker,63.08,63.3,NA,89.51,90.93,NA,95.9,96.2,NA
Chhattisgarh,Kawardha,25.32,25.57,NA,78.9,81.54,NA,89.1,89.51,NA
Chhattisgarh,Korba,35.22,29.53,46.23,72.02,78.11,65.26,82.45,84.53,78.5
Chhattisgarh,Koriya,36.36,37.01,33.7,71.63,81.68,49.83,79.29,87.75,53.59
Chhattisgarh,Mahasamund,40.1,39.87,42.36,75.62,77.99,59.48,85.64,86.31,77.78
Chhattisgarh,Raigarh,33.12,30.32,52.98,73.83,75.56,67.89,82.92,83.65,79.68
Chhattisgarh,Raipur,25.86,21.89,37.63,65.65,69.79,60.41,78.04,79.86,74.41
Chhattisgarh,Rajnandgaon,38.64,37.15,48.02,78.77,83.28,63.61,88.07,90.78,75.58
Chhattisgarh,Surguja,26.52,25.78,38.35,70.59,74.19,48.73,77.57,80.95,52.34
Jharkhand,Bokaro,13.3,15.9,10.2,18.2,25.8,13.6,44,57.1,35.5
Jharkhand,Chatra,16.3,15.8,20.3,35,34.9,35.9,77.6,80.1,66.7
Jharkhand,Deoghar,24.1,24.2,24.1,56.3,61.7,34.9,90,90.6,86.5
Jharkhand,Dhanbad,14,17.2,11.2,20,26,16.8,59.3,64.1,56.9
Jharkhand,Dumka,18.2,17.2,35.7,42.9,42.4,45.8,58.6,55.5,85.5
Jharkhand,Garhwa,27.2,26.2,NA,60.8,63.1,NA,79.8,80.1,NA
Jharkhand,Giridih,16,15.8,18.2,39.1,40.4,25.8,80.8,81.1,76.7
Jharkhand,Godda,23.4,23.3,NA,57.6,58.8,NA,86,86.6,NA
Jharkhand,Gumla,44.4,44.1,49.4,81.6,83.8,60.5,91.2,91.7,85.7
Jharkhand,Hazaribagh,26.1,26.6,23.6,45.1,49.5,30.9,77,80.2,64
Jharkhand,Kodarma,20.9,21.6,17,36.3,39.8,22.6,68.8,68.9,68.1
Jharkhand,Lohardaga,39.2,40.1,31.6,70.7,76.1,39.4,88.7,88.7,88.6
Jharkhand,Pakaur,21.4,21.1,NA,55.5,57.3,NA,67.8,68.7,NA
Jharkhand,Palamu,24.7,23.7,41.2,55.6,55.2,59.1,81.3,80.1,93.3
Jharkhand,Pashchimi Singhbhum,27.9,28.1,26.1,61.5,72.6,31.9,84.5,86.3,74.1
Jharkhand,Purbi Singhbhum,28.1,39.5,17.3,38,64.5,20.8,74,83.9,60
Jharkhand,Ranchi,32.4,38.6,20.1,42.5,59.1,22.2,77.5,85.1,59.8
Jharkhand,Sahibganj,21.3,19.1,45.3,55.2,55.2,55.2,73.1,73.9,70.6
Madhya Pradesh,Balaghat,76,77,70.1,93.9,95.5,84.5,97.6,98,95.3
Madhya Pradesh,Barwani,69.7,64.3,91.5,93.4,93.3,93.4,97.4,97.2,97.9
Madhya Pradesh,Betul,76.5,75.9,79.7,87.2,87.8,84.5,90.2,89,96.5
Madhya Pradesh,Bhind,75.1,77.1,71.2,87.8,92,80.1,91.5,94.8,85
Madhya Pradesh,Bhopal,65.8,76.7,63.3,71.7,88,68.1,90.8,94.2,89.9
Madhya Pradesh,Chhatarpur,80.2,81,77.2,96.3,98,89.5,98.1,98.9,94.2
Madhya Pradesh,Chhindwara,70,67.3,77.7,84.7,84.1,86.3,87.1,85.5,91.9
Madhya Pradesh,Damoh,56.8,53.7,69.1,94.3,96.4,88.2,98.1,99,95.7
Madhya Pradesh,Datia,74.4,76.1,69.9,88,90,82.6,95.6,95.7,95.2
Madhya Pradesh,Dewas,75.2,76.8,71.8,82.3,86.3,74.2,92.7,93.6,90.5
Madhya Pradesh,Dhar,75.3,76,72.5,86.3,89,77.3,93.9,93.8,94.2
Madhya Pradesh,Dindori,48.6,48.4,NA,96.8,97.2,NA,98.5,98.5,NA
Madhya Pradesh,East Nimar,61.1,59.4,66.8,80.6,82.8,74.5,91.7,91.8,91.5
Madhya Pradesh,Guna,82.2,82.1,82.5,87,86.3,89.9,91.4,89.5,99.4
Madhya Pradesh,Gwalior,70.3,83.2,63.9,75,88.2,68.5,91.9,94.7,90.1
Madhya Pradesh,Harda,73,71.1,80.9,92.1,93.9,85.8,97.9,98.4,96
Madhya Pradesh,Hoshangabad,82.7,83.6,80.7,89.1,92.4,82.6,95.8,97.6,91.6
