State_Name,State_District_Name,TT_Children_Aged_12_23_Months_Having_Immunization_Card_Total,TT_Children_Aged_12_23_Months_Having_Immunization_Card_Rural,TT_Children_Aged_12_23_Months_Having_Immunization_Card_Urban,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Urban,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Urban,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Urban,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Urban,TT_Children_Aged_12_23_Months_Fully_Immunized_Total,TT_Children_Aged_12_23_Months_Fully_Immunized_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Urban,TT_Children_Who_Have_Received_Polio_Dose_At_Birth_Total,TT_Children_Who_Have_Received_Polio_Dose_At_Birth_Rural,TT_Children_Who_Have_Received_Polio_Dose_At_Birth_Urban,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Total,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Rural,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Urban,TT_Children_Aged_6_35_Months_Who_Received_At_Least_One_Vitamin_A_Dose_During_Last_Six_Months_Total,TT_Children_Aged_6_35_Months_Who_Received_At_Least_One_Vitamin_A_Dose_During_Last_Six_Months_Rural,TT_Children_Aged_6_35_Months_Who_Received_At_Least_One_Vitamin_A_Dose_During_Last_Six_Months_Urban,TT_Children_Aged_6_35_Months_Who_Received_Ifa_Tablets_Syrup_During_Last_3_Months_Total,TT_Children_Aged_6_35_Months_Who_Received_Ifa_Tablets_Syrup_During_Last_3_Months_Rural,TT_Children_Aged_6_35_Months_Who_Received_Ifa_Tablets_Syrup_During_Last_3_Months_Urban,TT_Children_Whose_Birth_Weight_Was_Taken_Total,TT_Children_Whose_Birth_Weight_Was_Taken_Rural,TT_Children_Whose_Birth_Weight_Was_Taken_Urban,TT_Children_With_Birth_Weight_Less_Than_2_5_Kg_Total,TT_Children_With_Birth_Weight_Less_Than_2_5_Kg_Rural,TT_Children_With_Birth_Weight_Less_Than_2_5_Kg_Urban
Assam,Barpeta,94.2,93.9,97.3,93.5,93.4,94.5,76.5,76.6,75.5,78.5,78.4,80,76.3,76.7,71.8,62.1,61.9,63.6,67.7,67.2,74.5,4.3,4.2,5.5,57,57,56.4,36.1,35.4,44.5,55.3,52.9,84.8,22.5,22.7,21
Assam,Bongaigaon,95.8,95.6,97.9,94.3,94.2,95.8,67.8,67.5,71.4,66.6,67.6,56.8,79.4,79,84.4,52.4,52.8,47.9,73.7,71.9,91.7,3.4,3.5,2.1,55,54.4,61.5,30.3,29.4,39.1,55.7,52.9,86.4,21.6,21.6,21.2
Assam,Cachar,92.7,94.4,84.7,94.2,94.1,94.2,71.3,70.6,74.8,77.1,76.1,81.8,80.3,80.3,79.9,64.5,63.9,67.3,82,80.1,91.3,2.7,2.6,2.9,47.5,46.4,53,19.9,19.3,23.2,61.7,58.3,80.3,27.8,27.8,27.8
Assam,Darrang,94.7,94.6,NA,93.2,93,NA,79.3,79.5,NA,70.8,71,NA,71.6,71.1,NA,56.4,56.1,NA,76.3,75.7,NA,5.3,5.4,NA,44.6,44.8,NA,24.4,23.8,NA,65,64.6,NA,25.2,26.2,NA
Assam,Dhemaji,92.2,92.2,92.9,91.5,91.4,93.1,80.4,79.9,86.8,78,77.6,84.1,77.5,77,83,66.6,65.9,75.8,78.5,78.5,78.6,7.5,7.6,6,58.6,58,65.4,21.9,21.7,24.5,74.1,73.4,82.2,14.5,14.3,17.1
Assam,Dhubri,92.1,91.6,97.1,89.9,89.2,96.1,72.5,72.1,76.7,69.4,68.4,78.6,62.3,59.9,84.5,48.7,46.9,66,61.8,59.1,88.3,7.8,8.4,2.9,50.2,50.4,48.5,31.9,32.5,26.2,41.7,37.9,83.8,16.5,16,19.3
Assam,Dibrugarh,95.2,94.8,97.1,97.5,97.3,98.5,90.6,89.8,93.8,88,87.4,90.7,93.1,92.7,94.7,82.3,81.5,85.8,93.7,93.3,95.4,0.9,0.9,0.7,77.7,78.3,75.1,17.2,17.4,16.6,81.8,80.4,87.7,31.6,33.1,26.5
Assam,Goalpara,96.4,96.3,97.7,91.8,91.8,92.1,72.2,72.5,68.4,58.1,58.9,45.8,72.2,72.4,68.9,46.6,47.3,37.3,72.1,71.7,78,4.5,4.6,2.8,57.6,57.9,53.7,41,41,41.2,57.6,56.5,71.4,18.4,18.1,20.8
Assam,Golaghat,96.4,96,99.6,96.6,96.7,95.5,76.9,76.8,77.8,85.1,85.1,84.9,89.3,89.5,87.6,69.4,69.2,71.6,80.5,80,84.4,1.4,1.1,4,68,67.1,75.1,17.1,17.3,15.1,75.5,74.1,87.3,24.7,25.1,21.6
Assam,Hailakandi,89.5,88.6,NA,89.3,88.7,NA,74.1,73.9,NA,75.3,74.5,NA,78.6,78.3,NA,67.1,67.6,NA,80.1,78.9,NA,7.4,7.9,NA,65.8,64.4,NA,27.2,27.4,NA,36.9,32.3,NA,28.2,22.1,NA
