State_Name,TT_Children_Aged_12_23_Months_Having_Immunization_Card_Total,TT_Children_Aged_12_23_Months_Having_Immunization_Card_Rural,TT_Children_Aged_12_23_Months_Having_Immunization_Card_Urban,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Bcg_Urban,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Polio_Vaccine_Urban,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_3_Doses_Of_Dpt_Vaccine_Urban,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Total,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Rural,TT_Children_Aged_12_23_Months_Who_Have_Received_Measles_Vaccine_Urban,TT_Children_Aged_12_23_Months_Fully_Immunized_Total,TT_Children_Aged_12_23_Months_Fully_Immunized_Rural,TT_Children_Aged_12_23_Months_Fully_Immunized_Urban,TT_Children_Who_Have_Received_Polio_Dose_At_Birth_Total,TT_Children_Who_Have_Received_Polio_Dose_At_Birth_Rural,TT_Children_Who_Have_Received_Polio_Dose_At_Birth_Urban,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Total,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Rural,TT_Children_Who_Did_Not_Receive_Any_Vaccination_Urban,TT_Children_Aged_6_35_Months_Who_Received_At_Least_One_Vitamin_A_Dose_During_Last_Six_Months_Total,TT_Children_Aged_6_35_Months_Who_Received_At_Least_One_Vitamin_A_Dose_During_Last_Six_Months_Rural,TT_Children_Aged_6_35_Months_Who_Received_At_Least_One_Vitamin_A_Dose_During_Last_Six_Months_Urban,TT_Children_Aged_6_35_Months_Who_Received_Ifa_Tablets_Syrup_During_Last_3_Months_Total,TT_Children_Aged_6_35_Months_Who_Received_Ifa_Tablets_Syrup_During_Last_3_Months_Rural,TT_Children_Aged_6_35_Months_Who_Received_Ifa_Tablets_Syrup_During_Last_3_Months_Urban,TT_Children_Whose_Birth_Weight_Was_Taken_Total,TT_Children_Whose_Birth_Weight_Was_Taken_Rural,TT_Children_Whose_Birth_Weight_Was_Taken_Urban,TT_Children_With_Birth_Weight_Less_Than_2_5_Kg_Total,TT_Children_With_Birth_Weight_Less_Than_2_5_Kg_Rural,TT_Children_With_Birth_Weight_Less_Than_2_5_Kg_Urban
Assam,93.9,93.6,95.9,94.1,93.8,96.7,78.1,77.8,80,77.6,77.2,80.2,80.9,80.2,85.4,64.4,63.8,68.4,79.3,78,87.8,3.6,3.9,2,63.2,62.7,66.3,25.1,25.1,25,65.5,62.4,84.3,23.3,23.2,23.9
Bihar,85.4,85.2,87.5,94.7,94.6,95.2,82.7,82.7,82.2,81.6,81.5,82.6,80.3,80.2,81.6,69.9,69.7,72.1,69,67.7,79.9,3.7,3.7,3.2,56.2,56.4,54.7,33.8,33.7,34.2,42.9,40.9,61.4,21.9,21.7,23.2
Chhattisgarh,89.17,87.86,95.33,96.57,96.4,97.35,83.34,82.49,87.35,81.85,81.03,85.71,90.04,89.75,91.4,74.85,73.9,79.35,87.77,86.72,92.72,2.95,3.09,2.29,68.34,67.26,73.41,42.75,43.6,38.71,67.93,65.45,79.9,13.22,12.98,14.25
Jharkhand,84.6,83.1,90.2,94.8,94.1,97.1,80,78.5,85.6,80,78.8,84.6,82.9,82,86.1,69.9,68.5,75.4,77.2,74.3,87.8,3.1,3.5,1.4,58.6,58.2,60.1,15.9,16.3,14.4,47.7,40.7,72.9,28.1,29.5,25.4
Madhya Pradesh,90.5,88.3,95.9,95.7,95.1,97.3,77.1,74.9,82.7,76.3,74.1,81.8,85.4,83.7,89.8,66.4,63.5,73.8,87.1,85,92.4,3.6,4.1,2.4,58.1,56.3,62.7,29.1,29.1,29.3,75.5,72.2,84.4,26.5,27.7,23.6
Odisha,95.42,95.29,96.21,98.23,98.19,98.5,81.97,81.97,81.91,82.8,82.85,82.47,89.17,89.2,88.95,68.76,68.85,68.19,83.57,82.88,87.92,0.82,0.8,0.96,68.58,68.79,67.27,25.32,25.67,23.13,86.5,86.05,89.37,21.62,22.01,19.19
Rajasthan,77.5,74.7,88.4,91.5,90.5,95.6,80.8,79.3,86.6,79.6,78,85.5,83.5,82.3,88.5,74.2,72.6,80.1,80.9,78.8,88.5,5.8,6.4,3.5,74.2,73.5,76.9,11.6,11.4,12.3,65.6,61.2,82.1,36.3,37.6,32.6
Uttar Pradesh,71.69,70.59,76.66,86.29,85.7,88.93,64.15,63.22,68.33,63.2,62.15,67.94,65.82,64.89,70.02,52.72,51.6,57.75,70.74,69.99,74.11,7.57,7.99,5.7,40.76,39.69,45.59,13.54,13.23,14.95,33.56,30.27,48.37,24.84,24.59,25.56
Uttarakhand,88.67,87.31,92.43,93.32,92.48,95.65,85.83,84.62,89.17,85.2,84.11,88.22,85.25,84.25,88,79.55,78.06,83.67,76.08,72.34,86.42,4.85,5.25,3.76,57.13,56.26,59.53,17.15,16.74,18.31,46.33,40.07,64.23,24.59,25.17,23.56

