State_Name,State_District_Name,UU_Children_Suffering_From_Diarrhoea_Total,UU_Children_Suffering_From_Diarrhoea_Rural,UU_Children_Suffering_From_Diarrhoea_Urban,UU_Children_Suffering_From_Diarrhoea_Who_Received_Haf_Ors_Ort_Total,UU_Children_Suffering_From_Diarrhoea_Who_Received_Haf_Ors_Ort_Rural,UU_Children_Suffering_From_Diarrhoea_Who_Received_Haf_Ors_Ort_Urban,UU_Children_Suffering_From_Acute_Respiratory_Infection_Total,UU_Children_Suffering_From_Acute_Respiratory_Infection_Rural,UU_Children_Suffering_From_Acute_Respiratory_Infection_Urban,UU_Children_Suffering_From_Acute_Respiratory_Infection_Who_Sought_Treatment_Total,UU_Children_Suffering_From_Acute_Respiratory_Infection_Who_Sought_Treatment_Rural,UU_Children_Suffering_From_Acute_Respiratory_Infection_Who_Sought_Treatment_Urban,UU_Children_Suffering_From_Fever_Total,UU_Children_Suffering_From_Fever_Rural,UU_Children_Suffering_From_Fever_Urban,UU_Children_Suffering_From_Fever_Who_Sought_Treatment_Total,UU_Children_Suffering_From_Fever_Who_Sought_Treatment_Rural,UU_Children_Suffering_From_Fever_Who_Sought_Treatment_Urban
Assam,Barpeta,9.8,9.7,11.3,84.2,84,85.7,12.9,12.1,22.6,86.7,86.9,85.7,19.9,19.8,21,86.5,85.9,92.3
Assam,Bongaigaon,3.1,3.2,1.8,74.9,76,50,7.1,7.4,2.7,90.7,90.4,100,12.6,12.8,10.8,85.1,84.1,100
Assam,Cachar,12.7,11.6,19.2,82.6,86,70,9,8.5,11.6,92.8,93,91.7,30.8,30.1,34.8,91.9,91.6,93.6
Assam,Darrang,9.6,8.8,NA,87.9,85.8,NA,12.9,12.7,NA,93.5,93,NA,24.3,24.9,NA,93.5,94.2,NA
Assam,Dhemaji,11.6,11.6,11.1,88.2,88.5,85.7,9.3,9.3,10.3,88.6,88.6,88.5,17.1,17.2,16.3,71.3,71.9,63.4
Assam,Dhubri,7.5,7.4,8.5,87.2,85.8,100,11.6,11.5,12.2,92.1,91.3,100,29.9,30.8,20.7,91.6,91.4,94.1
Assam,Dibrugarh,15,16.2,10.6,86,84.8,93.3,34,34.8,31,92,92,92,29.1,31.4,20.1,80.9,79.2,91.2
Assam,Goalpara,9.4,9.3,10.2,93.9,93.3,100,11.4,11.2,14.8,91.8,91.5,94.7,14.8,14.4,20.3,81,81,80.8
Assam,Golaghat,11.6,12.2,7.3,88.9,90,75,36.4,38.2,21.1,89.1,89.6,81,26.9,27.2,24.8,82.9,83.1,81.5
Assam,Hailakandi,28.8,29.3,NA,89.5,90.3,NA,20.5,20.2,NA,88.3,89.3,NA,42.4,43.5,NA,78.6,78.4,NA
Assam,Jorhat,13,12.6,14.1,87.2,85.5,92.6,40.5,41.1,38.2,88.2,86.2,95.3,30.2,30,30.7,72.9,68.6,87.1
Assam,Kamrup,4.7,4.5,5,93.2,95.5,90.8,6.7,6.6,6.8,95.9,94.2,97.8,13.4,11.4,15.7,82.8,85.7,80.4
Assam,Karbi Anglong,7.1,7.9,3.7,97,96.7,100,31.2,33.5,21.9,85.8,88.8,65.9,25,27.7,13.7,82.3,81.8,86.7
Assam,Karimganj,29.1,29,NA,90.6,91.4,NA,15.8,15.8,NA,95.6,95.4,NA,35.5,35.8,NA,90.2,90.5,NA
Assam,Kokrajhar,3.5,3.8,NA,86.2,86.2,NA,2,1.9,NA,93.9,93.3,NA,16,16,NA,89.6,90.2,NA
Assam,Lakhimpur,15.3,16,NA,87.4,86.9,NA,23.7,24.7,NA,85.9,85.3,NA,28.2,29,NA,83.9,83,NA
Assam,Marigaon,8.4,8.5,6.1,91.6,91.8,83.3,6.4,6.2,11.1,86.7,85.8,100,26.2,26.4,23.2,90,89.8,95.7
Assam,Nagaon,15,14.9,15.5,92.1,92.2,91.3,46.9,47.1,45.8,87.2,89.3,74.3,39,39,39.4,88,88.7,83.6
Assam,Nalbari,11.3,11.5,NA,87.3,87.1,NA,16.7,16.4,NA,90.9,90.5,NA,24.9,24.6,NA,89.4,89.1,NA
Assam,North Cachar Hills,8.1,5.4,10.8,91.8,87.5,94.1,12.8,12.5,13,94.7,91.7,97.7,13.5,8.7,18.3,74.4,37.9,91.7
Assam,Sibsagar,4.9,4.6,8.3,79.7,78.4,100,21.6,22.2,12.5,90.4,90.7,83.3,30.9,31.5,20.8,77.8,78.5,60
Assam,Sonitpur,8.2,8.1,9.2,91.5,91.1,95,8.3,8.3,8.7,79.4,79.4,78.9,11.7,11,18.3,84,85.5,75
Assam,Tinsukia,8,7.9,8.8,87.8,88.1,86.3,43.6,45.5,32.1,83,81.6,95.3,29.1,29.8,25.2,82.1,82,82.6
Bihar,Araria,8.8,8.9,NA,96.9,96.8,NA,23.9,23.7,NA,99.3,99.2,NA,41,40.5,NA,97.1,96.8,NA
Bihar,Aurangabad,8.9,9.1,7,49.2,46.8,80,19.9,16.5,53.5,98,98.2,97.4,52.3,53.3,42.3,97.4,97.4,96.7
Bihar,Banka,6.6,6.1,NA,39.7,39.1,NA,27.1,27,NA,98.4,99.3,NA,33.4,34,NA,96.1,97.1,NA
