State_Name,UU_Children_Suffering_From_Diarrhoea_Total,UU_Children_Suffering_From_Diarrhoea_Rural,UU_Children_Suffering_From_Diarrhoea_Urban,UU_Children_Suffering_From_Diarrhoea_Who_Received_Haf_Ors_Ort_Total,UU_Children_Suffering_From_Diarrhoea_Who_Received_Haf_Ors_Ort_Rural,UU_Children_Suffering_From_Diarrhoea_Who_Received_Haf_Ors_Ort_Urban,UU_Children_Suffering_From_Acute_Respiratory_Infection_Total,UU_Children_Suffering_From_Acute_Respiratory_Infection_Rural,UU_Children_Suffering_From_Acute_Respiratory_Infection_Urban,UU_Children_Suffering_From_Acute_Respiratory_Infection_Who_Sought_Treatment_Total,UU_Children_Suffering_From_Acute_Respiratory_Infection_Who_Sought_Treatment_Rural,UU_Children_Suffering_From_Acute_Respiratory_Infection_Who_Sought_Treatment_Urban,UU_Children_Suffering_From_Fever_Total,UU_Children_Suffering_From_Fever_Rural,UU_Children_Suffering_From_Fever_Urban,UU_Children_Suffering_From_Fever_Who_Sought_Treatment_Total,UU_Children_Suffering_From_Fever_Who_Sought_Treatment_Rural,UU_Children_Suffering_From_Fever_Who_Sought_Treatment_Urban
Assam,10.6,10.8,9.1,88.7,88.7,88.7,18.2,18.5,16.4,88.8,88.9,88.2,24.5,25.1,21,85.7,85.8,84.7
Bihar,10,10,10,83.3,82.9,87.5,28.2,27.9,30.4,99.2,99.3,99,36.7,37.2,31.9,91.8,91.5,95.5
Chhattisgarh,12.17,12.58,10.02,93.72,94.23,90.37,15.54,15.26,17.03,97.95,97.86,98.36,16.28,16.01,17.7,95.18,95.12,95.48
Jharkhand,7.7,7.5,8.4,84.1,84.2,83.9,21.4,20.9,23.2,91.4,90.6,94.3,19.8,19.8,19.8,90.3,89.4,93.5
Madhya Pradesh,16.4,16.8,15.3,95.6,95.6,95.7,19.2,19.4,18.7,94.5,93.7,96.9,21.3,21.9,19.7,95.1,95,95.6
Odisha,14,14.13,13.15,87.24,87.26,87.14,25.4,25.11,27.29,91.82,91.72,92.41,30.58,30.88,28.63,91.45,91.34,92.2
Rajasthan,13.4,13.1,14.6,86.4,86,87.8,15.9,15.1,18.7,94.9,94.4,96.2,20.3,19.9,21.6,92.6,92.2,93.8
Uttar Pradesh,10.83,10.89,10.59,85.14,85.45,83.73,27.9,27.15,31.13,97.8,97.78,97.88,24.48,24.7,23.55,95.99,95.82,96.75
Uttarakhand,7.32,6.55,9.47,85.65,85.33,86.26,11.45,10.96,12.81,96.09,95.32,97.95,12,11.35,13.8,92.86,92.03,94.77

