State_Name,State_District_Name,VV_Children_Breastfed_Within_One_Hour_Of_Birth_Total,VV_Children_Breastfed_Within_One_Hour_Of_Birth_Rural,VV_Children_Breastfed_Within_One_Hour_Of_Birth_Urban,VV_Children_Aged_6_35_Months_Exclusively_Breastfed_For_At_Least_Six_Months_Total,VV_Children_Aged_6_35_Months_Exclusively_Breastfed_For_At_Least_Six_Months_Rural,VV_Children_Aged_6_35_Months_Exclusively_Breastfed_For_At_Least_Six_Months_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Water_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Water_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Water_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Animal_Formula_Milk_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Animal_Formula_Milk_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Animal_Formula_Milk_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Semi_Solid_Mashed_Food_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Semi_Solid_Mashed_Food_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Semi_Solid_Mashed_Food_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Solid_Adult_Food_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Solid_Adult_Food_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Solid_Adult_Food_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Water_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Water_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Water_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Animal_Formula_Milk_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Animal_Formula_Milk_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Animal_Formula_Milk_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Semi_Solid_Mashed_Food_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Semi_Solid_Mashed_Food_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Semi_Solid_Mashed_Food_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Solid_Adult_Food_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Solid_Adult_Food_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Solid_Adult_Food_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Vegetables_Fruits_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Vegetables_Fruits_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Vegetables_Fruits_Urban
Assam,Barpeta,78.9,79,77.8,36.1,35.9,38.6,41.6,41.6,41.8,33.5,33.2,37.3,12.2,12.1,13.9,2.4,1.8,8.9,1.9,1.4,8.2,5.1,5.1,5,5.7,5.7,5.4,7,7.1,6.8,9.3,9.3,8.8,9.8,9.8,9.2
Assam,Bongaigaon,72.8,74.2,58.1,29.1,28.4,36.5,50.1,50.9,41.5,39.7,40.2,33.2,15.5,15.6,14.6,2.2,2.1,3.7,1.6,1.5,3,5.1,5,5.4,5.5,5.5,5.9,6.9,6.9,7,8.4,8.4,8.3,8.9,8.9,8.8
Assam,Cachar,63.3,63.8,60.3,32.3,31.8,35.1,58.8,60.2,51.2,62.1,63,57.3,20,20.3,18.4,2.2,1.9,3.4,1.8,1.7,2.1,4.1,4,4.3,4.2,4.2,4.3,6.9,6.8,7.1,8.8,8.7,9.2,9.6,9.6,10
Assam,Darrang,73.6,72.9,NA,31.5,31.5,NA,44.5,44.1,NA,33.7,33.3,NA,13.7,13.7,NA,1.6,1.7,NA,1.1,1.1,NA,5.3,5.3,NA,5.7,5.7,NA,6.9,6.9,NA,8.7,8.7,NA,9.1,9.1,NA
Assam,Dhemaji,82.9,83.1,80.4,43.1,43,44.2,26.3,25.8,31.5,16.6,16.3,19.6,5.1,5.2,4.6,1.7,1.7,2.8,1.5,1.4,2,5.9,5.9,5.7,6.4,6.4,6.2,7.5,7.5,7.2,8.5,8.6,8.3,9.1,9.1,8.9
Assam,Dhubri,65.5,65.6,63.9,23.8,23.3,28.9,54.8,55,52.3,41.8,42,40,14.1,14.3,12.9,4.1,4.5,0.6,3.2,3.5,0,4.9,4.9,5,5.6,5.6,5.6,7.2,7.2,7.4,8.8,8.7,9,9.5,9.5,9.5
Assam,Dibrugarh,81.4,83.7,72,74.9,75.4,72.9,11.5,10.6,15.1,23.7,24.4,21,4.7,4.7,4.4,1.3,1.5,0.5,1,1.1,0.6,6.5,6.5,6.3,6.4,6.4,6.5,8.1,8.1,8.1,9.6,9.6,9.7,9.5,9.4,9.7
Assam,Goalpara,79.8,80.2,74.9,39.2,39.2,38.5,37.1,37.5,32.5,25.3,25.4,23.7,8.2,8.2,8.8,1.9,2,0.4,1.2,1.3,0.4,5.6,5.6,5.6,6.1,6.1,6.1,7.3,7.3,7.3,8.5,8.5,8.6,9.2,9.2,9.2
Assam,Golaghat,79,79.9,71.6,55.3,54.1,65.7,27.9,28.9,19.3,31.4,32.1,25.7,10.1,10.4,7.3,1.8,1.9,1.5,1,1,0.6,5.9,5.9,6.2,6.3,6.3,6.7,7.6,7.6,7.9,9.1,9,9.4,9.4,9.3,9.8
Assam,Hailakandi,62.4,62.1,NA,18.5,19.6,NA,66.1,64.1,NA,63.2,63.1,NA,25.4,26.7,NA,5.7,5.8,NA,2.7,2.9,NA,4.1,4.2,NA,4.4,4.4,NA,6.7,6.7,NA,8.9,9,NA,9.9,10,NA
Assam,Jorhat,80,82,72.5,51.7,53.6,44.8,28.2,26.2,35.3,31.5,30.3,36.2,13,12.9,13.5,2.3,2.2,2.8,1.6,1.6,1.5,5.8,5.9,5.6,6,6,5.9,7.5,7.5,7.4,9.2,9.2,9.3,9.4,9.4,9.4
Assam,Kamrup,82.4,83.7,80.6,48.4,50.4,46,31.5,30.2,33.1,21,21.5,20.4,6.8,7.2,6.3,1.3,1.1,1.5,1.4,1.5,1.3,5.8,5.9,5.8,6.4,6.4,6.5,7.5,7.5,7.5,9,9.1,8.8,9.5,9.6,9.4
