State_Name,VV_Children_Breastfed_Within_One_Hour_Of_Birth_Total,VV_Children_Breastfed_Within_One_Hour_Of_Birth_Rural,VV_Children_Breastfed_Within_One_Hour_Of_Birth_Urban,VV_Children_Aged_6_35_Months_Exclusively_Breastfed_For_At_Least_Six_Months_Total,VV_Children_Aged_6_35_Months_Exclusively_Breastfed_For_At_Least_Six_Months_Rural,VV_Children_Aged_6_35_Months_Exclusively_Breastfed_For_At_Least_Six_Months_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Water_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Water_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Water_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Animal_Formula_Milk_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Animal_Formula_Milk_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Animal_Formula_Milk_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Semi_Solid_Mashed_Food_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Semi_Solid_Mashed_Food_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Semi_Solid_Mashed_Food_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Solid_Adult_Food_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Solid_Adult_Food_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Solid_Adult_Food_Urban,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Total,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Rural,VV_Children_Who_Received_Foods_Other_Than_Breast_Milk_During_First_6_Months_Vegetables_Fruits_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Water_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Water_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Water_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Animal_Formula_Milk_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Animal_Formula_Milk_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Animal_Formula_Milk_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Semi_Solid_Mashed_Food_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Semi_Solid_Mashed_Food_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Semi_Solid_Mashed_Food_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Solid_Adult_Food_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Solid_Adult_Food_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Solid_Adult_Food_Urban,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Vegetables_Fruits_Total,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Vegetables_Fruits_Rural,VV_Average_Month_By_Which_Children_Received_Foods_Other_Than_Breast_Milk_Vegetables_Fruits_Urban
Assam,75.6,75.9,74,40.4,39.7,44.5,38.4,38.7,36.4,35.2,35.8,31.3,12.3,12.7,9.6,2,2,2.2,1.5,1.5,1.6,5.4,5.4,5.5,5.8,5.7,6,7.3,7.3,7.4,9,9,9,9.5,9.5,9.5
Bihar,37,36.7,38.9,31,31.5,27.1,61,60.8,62.1,58.3,58,60.6,7.1,7.1,7.9,3,2.9,3.2,2.3,2.2,2.8,4.2,4.3,4,4.8,4.8,4.5,7.6,7.6,7.4,9.6,9.6,9.5,10.9,11,10.7
Chhattisgarh,66.25,65.57,69.62,50.83,52.25,43.82,44.45,43.06,51.4,44.02,42.37,52.23,7.65,7.28,9.5,5.39,4.99,7.33,5.33,4.9,7.45,5.37,5.39,5.26,5.43,5.48,5.18,7.38,7.39,7.34,8.69,8.69,8.68,10.75,10.73,10.87
Jharkhand,43.3,43.2,43.9,50.2,50.6,49.1,54.3,54.3,54.2,53.7,54.5,50.8,20.3,20.5,19.5,5.3,5.6,4.5,3.9,4,3.5,5.4,5.5,5.2,5.1,5,5.3,7.7,7.7,7.7,9.2,9.2,9.3,9.9,9.8,9.9
Madhya Pradesh,66.8,66.6,67.2,41.5,41.3,41.8,49.6,49.3,50.4,50.5,50.7,50,11.5,11.6,11.4,8.5,8.5,8.4,8.2,8.2,8.1,4.4,4.5,4.3,4.8,4.8,4.8,7.5,7.5,7.4,9.3,9.3,9.4,10.4,10.5,10.1
Odisha,78.7,79.07,76.36,30.73,30.7,30.9,63.95,64.14,62.77,61.15,61.87,56.63,14.48,14.62,13.64,3.96,4.04,3.42,3.44,3.45,3.37,3.61,3.6,3.62,3.67,3.62,4.01,6.97,6.96,6.99,9.3,9.31,9.21,8.94,8.96,8.85
Rajasthan,54.1,53.9,54.9,32.1,31.8,33.4,63.3,63.2,63.8,52.1,50.5,58.5,5.4,5.2,6.2,4.6,4.3,5.5,3,2.8,3.9,4.8,4.8,4.9,5.4,5.5,5.1,8.3,8.4,8.1,10.1,10.1,10,9.9,10,9.7
Uttar Pradesh,39.35,38.91,41.36,20.77,20.75,20.84,69.07,68.81,70.26,64.17,63.99,65.01,13.02,13.2,12.22,7.19,7.19,7.21,9.39,9.69,8.01,2.56,2.56,2.54,3.31,3.3,3.35,7.15,7.12,7.28,9.78,9.81,9.66,9.08,8.99,9.49
Uttarakhand,65.13,68.01,56.9,37.29,37.5,36.68,53.31,52.2,56.49,55.7,54.09,60.3,10.52,10.18,11.46,4.54,4.31,5.19,6.19,5.97,6.82,3.59,3.74,3.14,3.8,3.94,3.41,6.27,6.3,6.17,8.12,8.13,8.08,7.33,7.31,7.4

