State_Name,State_District_Name,WW_Birth_Registered_Total,WW_Birth_Registered_Rural,WW_Birth_Registered_Urban,WW_Children_Whose_Birth_Was_Registered_And_Received_Birth_Certificate_Total,WW_Children_Whose_Birth_Was_Registered_And_Received_Birth_Certificate_Rural,WW_Children_Whose_Birth_Was_Registered_And_Received_Birth_Certificate_Urban
Assam,Barpeta,79.3,78.3,91.8,61.6,60.2,79.1
Assam,Bongaigaon,88.8,88.3,94.4,77.1,76.3,86
Assam,Cachar,90.8,90.3,93.4,40.3,39.5,44.7
Assam,Darrang,82.3,81.7,NA,66.8,66.5,NA
Assam,Dhemaji,84.4,84.1,88.5,73.8,73.5,77.8
Assam,Dhubri,83.8,83.4,88.1,72.4,72.1,76.3
Assam,Dibrugarh,90.7,89.6,95,67.6,64.5,80.4
Assam,Goalpara,88.5,88.2,92.9,73.1,72.1,85.5
Assam,Golaghat,86.9,85.6,97.2,65,63.7,76.1
Assam,Hailakandi,91.6,91.6,NA,72.6,72.2,NA
Assam,Jorhat,90.5,89.8,93.1,69.9,68.2,76.4
Assam,Kamrup,92,91.1,93,81.9,79.2,85.4
Assam,Karbi Anglong,80.9,77.9,93.2,60.1,54.7,82.4
Assam,Karimganj,95.3,95.3,NA,78.8,78.7,NA
Assam,Kokrajhar,78.9,78,NA,62,60.3,NA
Assam,Lakhimpur,91.5,91.3,NA,83.7,83.1,NA
Assam,Marigaon,86.7,86.5,91,77.6,77.4,84.8
Assam,Nagaon,86.2,84.6,96.5,73.1,71.5,83
Assam,Nalbari,84.5,84.3,NA,74.8,74.5,NA
Assam,North Cachar Hills,84.6,75.5,93.8,70.7,60.4,81.1
Assam,Sibsagar,93.2,93,96.6,68.2,67.6,76.5
Assam,Sonitpur,78.4,77.9,83.7,61.9,60.8,71.6
Assam,Tinsukia,90.1,89.1,95.7,57.3,53.6,78.7
Bihar,Araria,45.9,44.5,NA,14.1,12.8,NA
Bihar,Aurangabad,63.1,62.1,73.3,25.5,24.9,32.1
Bihar,Banka,70.9,70.6,NA,30.7,30.4,NA
Bihar,Begusarai,70.2,69.6,NA,31.2,30.9,NA
Bihar,Bhagalpur,70.1,70,70.7,31.5,31.4,31.6
Bihar,Bhojpur,79.2,78.6,83.5,36.1,35.1,43.6
Bihar,Buxar,78.6,79.2,70.8,42.3,43.2,31.3
Bihar,Darbhanga,43.5,41.7,67.5,21.8,20.2,42.2
Bihar,Gaya,63.9,61.1,75.3,21.1,19.4,28.1
Bihar,Gopalganj,71.4,71.5,70.4,48.8,49.2,42.6
Bihar,Jamui,59.9,58.4,NA,25.1,24.5,NA
Bihar,Jehanabad,76.4,75.9,81.8,35.1,34.6,40.3
Bihar,Kaimur (Bhabua),76.5,76.4,NA,36.3,36,NA
Bihar,Katihar,56.9,55.7,82.4,37.1,36,60.1
Bihar,Khagaria,75.1,74.5,85.8,35.3,34.8,45.2
Bihar,Kishanganj,56.5,54.6,77.1,32.9,31.9,44.4
Bihar,Lakhisarai,66.9,65.9,75.9,30.6,29.7,38.6
Bihar,Madhepura,49,48.4,NA,20.4,19.9,NA
Bihar,Madhubani,56.4,56.2,NA,25.5,25.5,NA
Bihar,Munger,80.6,79.6,83.6,38.6,36.5,44.7
Bihar,Muzaffarpur,62,60.9,80.7,38.2,37.6,49
Bihar,Nalanda,71.7,71.5,73.2,28.5,27.8,32.7
Bihar,Nawada,64.2,62.7,80.4,20.5,20.1,25
Bihar,Pashchim Champaran,63.6,63.3,67.5,47,47.1,45
Bihar,Patna,85.9,83,91,43.1,36.9,53.9
Bihar,Purba Champaran,41.1,40,NA,29.2,28.2,NA
Bihar,Purnia,61.3,60.9,NA,23.9,23.6,NA
Bihar,Rohtas,74.2,73.8,77.9,36.7,36.6,38.2
Bihar,Saharsa,52.3,48.8,84.3,23.1,21.9,34.1
Bihar,Samastipur,65.3,65,NA,34.1,33.6,NA
Bihar,Saran,64.9,65,64.2,43.7,45.4,29.2
Bihar,Sheikhpura,79.1,78.8,82,28.5,28.2,31.3
Bihar,Sheohar,42.4,43.5,NA,23.4,24.3,NA
Bihar,Sitamarhi,43.5,41.9,NA,25.2,23.7,NA
Bihar,Siwan,69.4,68.8,74.1,42.5,42,47.2
Bihar,Supaul,56.5,54.9,NA,28.9,27.7,NA
Bihar,Vaishali,76.3,76.3,76.5,52.9,53.1,48.5
Chhattisgarh,Bastar,83.94,83.11,95.67,61.65,60.5,78
Chhattisgarh,Bilaspur,87.9,87.41,89.39,61.33,59.55,66.64
Chhattisgarh,Dantewada,85.87,84.84,94.87,56.88,54.4,78.5
Chhattisgarh,Dhamtari,90.73,90.41,93.43,55.95,54.33,69.52
Chhattisgarh,Durg,92.14,91.09,94.28,60.88,56.8,69.24
Chhattisgarh,Janjgir-Champa,85.95,86.57,79.3,52.61,51.45,64.97
Chhattisgarh,Jashpur,86.33,86.25,NA,46.43,46.07,NA
Chhattisgarh,Kanker,83.53,82.89,NA,55.86,54.96,NA
Chhattisgarh,Kawardha,85.58,84.81,NA,57.79,57.25,NA
Chhattisgarh,Korba,88.08,86.09,91.84,54.48,47.62,67.42
Chhattisgarh,Koriya,78.13,74.97,91.2,49.8,43.11,77.47
Chhattisgarh,Mahasamund,95.9,96.02,94.65,49.41,48.41,59.26
Chhattisgarh,Raigarh,93.85,93.36,97.24,52.8,49.96,72.56
Chhattisgarh,Raipur,86.08,83.62,93.59,48.95,43.31,66.1
Chhattisgarh,Rajnandgaon,93.78,93.47,95.92,62.61,60.57,76.5
Chhattisgarh,Surguja,57.61,55.78,90.1,37.42,35.38,73.76
Jharkhand,Bokaro,69.3,57.4,83.8,31.5,22.5,42.4
Jharkhand,Chatra,40.6,38.1,63.2,19.4,17.9,33.6
Jharkhand,Deoghar,52.7,49.7,75.8,23.2,21,40.2
Jharkhand,Dhanbad,71.6,61.9,80.3,34.3,25.2,42.6
Jharkhand,Dumka,57,55.8,78.6,19.6,18.2,45.3
Jharkhand,Garhwa,49.3,45.7,NA,21,20.4,NA
