State_Name,State_District_Name,YY_Crude_Death_Rate_Cdr_Total_Person,YY_Crude_Death_Rate_Cdr_Total_Male,YY_Crude_Death_Rate_Cdr_Total_Female,YY_Crude_Death_Rate_Cdr_Rural_Person,YY_Crude_Death_Rate_Cdr_Rural_Male,YY_Crude_Death_Rate_Cdr_Rural_Female,YY_Crude_Death_Rate_Cdr_Urban_Person,YY_Crude_Death_Rate_Cdr_Urban_Male,YY_Crude_Death_Rate_Cdr_Urban_Female,YY_Infant_Mortality_Rate_Imr_Total_Person,YY_Infant_Mortality_Rate_Imr_Total_Male,YY_Infant_Mortality_Rate_Imr_Total_Female,YY_Infant_Mortality_Rate_Imr_Rural_Person,YY_Infant_Mortality_Rate_Imr_Rural_Male,YY_Infant_Mortality_Rate_Imr_Rural_Female,YY_Infant_Mortality_Rate_Imr_Urban_Person,YY_Infant_Mortality_Rate_Imr_Urban_Male,YY_Infant_Mortality_Rate_Imr_Urban_Female,YY_Neo_Natal_Mortality_Rate_Total,YY_Neo_Natal_Mortality_Rate_Rural,YY_Neo_Natal_Mortality_Rate_Urban,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,YY_Post_Neo_Natal_Mortality_Rate_Urban,YY_Under_Five_Mortality_Rate_U5MR_Total_Person,YY_Under_Five_Mortality_Rate_U5MR_Total_Male,YY_Under_Five_Mortality_Rate_U5MR_Total_Female,YY_Under_Five_Mortality_Rate_U5MR_Rural_Person,YY_Under_Five_Mortality_Rate_U5MR_Rural_Male,YY_Under_Five_Mortality_Rate_U5MR_Rural_Female,YY_Under_Five_Mortality_Rate_U5MR_Urban_Person,YY_Under_Five_Mortality_Rate_U5MR_Urban_Male,YY_Under_Five_Mortality_Rate_U5MR_Urban_Female
Assam,Barpeta,6.6,8.1,5.1,6.7,8.1,5.3,6.1,8.7,3.4,43,51,34,44,51,38,NA,NA,NA,31,32,NA,11,12,NA,58,68,48,62,70,53,NA,NA,NA
Assam,Bongaigaon,6.1,7.8,4.4,6.3,8,4.5,5,6.3,3.7,48,47,48,50,50,51,NA,NA,NA,27,28,NA,21,22,NA,61,60,62,65,65,66,NA,NA,NA
Assam,Cachar,7.3,8.2,6.3,7.4,8.3,6.5,6.5,7.7,5.4,53,52,54,56,54,58,37,39,35,35,38,21,17,18,16,69,68,70,74,73,75,44,44,43
Assam,Darrang,8.1,8.4,7.7,8.1,8.5,7.8,6.9,6.8,7.1,70,69,71,71,70,72,NA,NA,NA,40,41,NA,30,30,NA,91,92,91,93,93,93,NA,NA,NA
Assam,Dhemaji,4.5,5.3,3.7,4.5,5.3,3.7,4.2,5.2,3.2,37,37,37,38,38,38,21,30,12,25,27,10,11,11,12,45,44,46,47,44,49,25,36,12
Assam,Dhubri,7,8.4,5.5,7.3,8.8,5.6,5.4,6.1,4.7,69,67,70,70,71,70,NA,NA,NA,50,51,NA,18,19,NA,87,86,89,90,92,87,NA,NA,NA
Assam,Dibrugarh,7.4,8.5,6.3,7.9,9,6.9,5.8,7.1,4.5,51,51,51,52,54,51,44,38,52,34,37,22,17,15,23,65,64,66,70,71,68,51,39,62
Assam,Goalpara,6.7,7.9,5.3,6.7,7.9,5.5,5.9,7.8,3.9,53,53,53,55,54,56,NA,NA,NA,38,40,NA,15,16,NA,70,72,69,74,74,73,NA,NA,NA
Assam,Golaghat,8,8.8,7.2,8.3,9.2,7.3,6,5.9,6.1,56,55,57,59,58,60,NA,NA,NA,43,45,NA,13,14,NA,71,69,73,75,74,77,NA,NA,NA
Assam,Hailakandi,6.8,7.6,6,6.9,7.6,6.1,NA,NA,NA,52,56,48,54,56,52,NA,NA,NA,36,38,NA,16,16,NA,87,91,82,92,96,88,NA,NA,NA
Assam,Jorhat,7.9,8.8,7.1,8.2,9.1,7.3,7.1,7.9,6.4,50,48,52,52,51,53,45,39,50,39,41,33,11,11,12,62,62,62,66,68,65,48,42,55
Assam,Kamrup,5.6,6.4,4.7,7.4,8.1,6.5,3.9,4.7,3,39,41,38,57,60,55,16,16,16,25,36,12,14,22,5,49,50,48,74,75,74,19,20,18
Assam,Karbi Anglong,7.1,8.1,6.1,7.3,8.2,6.4,6.4,7.6,5.1,60,51,70,64,53,75,45,41,49,38,39,34,22,25,11,78,66,90,84,71,98,52,46,58
