State_Name,YY_Crude_Death_Rate_Cdr_Total_Person,YY_Crude_Death_Rate_Cdr_Total_Male,YY_Crude_Death_Rate_Cdr_Total_Female,YY_Crude_Death_Rate_Cdr_Rural_Person,YY_Crude_Death_Rate_Cdr_Rural_Male,YY_Crude_Death_Rate_Cdr_Rural_Female,YY_Crude_Death_Rate_Cdr_Urban_Person,YY_Crude_Death_Rate_Cdr_Urban_Male,YY_Crude_Death_Rate_Cdr_Urban_Female,YY_Infant_Mortality_Rate_Imr_Total_Person,YY_Infant_Mortality_Rate_Imr_Total_Male,YY_Infant_Mortality_Rate_Imr_Total_Female,YY_Infant_Mortality_Rate_Imr_Rural_Person,YY_Infant_Mortality_Rate_Imr_Rural_Male,YY_Infant_Mortality_Rate_Imr_Rural_Female,YY_Infant_Mortality_Rate_Imr_Urban_Person,YY_Infant_Mortality_Rate_Imr_Urban_Male,YY_Infant_Mortality_Rate_Imr_Urban_Female,YY_Neo_Natal_Mortality_Rate_Total,YY_Neo_Natal_Mortality_Rate_Rural,YY_Neo_Natal_Mortality_Rate_Urban,YY_Post_Neo_Natal_Mortality_Rate_Total,YY_Post_Neo_Natal_Mortality_Rate_Rural,YY_Post_Neo_Natal_Mortality_Rate_Urban,YY_Under_Five_Mortality_Rate_U5MR_Total_Person,YY_Under_Five_Mortality_Rate_U5MR_Total_Male,YY_Under_Five_Mortality_Rate_U5MR_Total_Female,YY_Under_Five_Mortality_Rate_U5MR_Rural_Person,YY_Under_Five_Mortality_Rate_U5MR_Rural_Male,YY_Under_Five_Mortality_Rate_U5MR_Rural_Female,YY_Under_Five_Mortality_Rate_U5MR_Urban_Person,YY_Under_Five_Mortality_Rate_U5MR_Urban_Male,YY_Under_Five_Mortality_Rate_U5MR_Urban_Female
Assam,7,8,6.1,7.4,8.4,6.4,5.3,6.4,4.3,55,55,56,59,59,60,31,30,32,37,40,21,18,19,10,71,71,72,77,77,78,36,34,39
Bihar,6.8,6.9,6.7,7,7.1,6.9,5.7,5.8,5.6,48,47,49,49,48,50,41,40,43,32,32,26,16,16,16,70,67,73,72,69,75,51,49,54
Chhattisgarh,7.27,7.8,6.73,7.66,8.1,7.21,5.8,6.68,4.89,45.78,42.88,48.82,48.39,45.34,51.59,33.87,31.77,36.1,32.21,33.73,25.23,13.58,14.66,8.64,60,58,63,65,62,69,40,38,42
Jharkhand,5.7,6.1,5.3,6,6.4,5.7,4.8,5.3,4.3,36,36,37,40,40,41,22,21,23,23,26,14,13,14,8,51,49,52,57,56,58,29,27,31
Madhya Pradesh,7.7,8.2,7.2,8.5,8.9,8,6.1,6.7,5.5,62.46,60.26,64.89,67.99,65.56,70.65,46.59,45.37,47.98,41.87,45.88,30.38,20.59,22.11,16.21,83,80,86,93,90,96,57,55,59
Odisha,8.1,8.7,7.5,8.5,9.1,7.9,6.4,7,5.7,56,53,59,59,56,62,37,36,39,37,39,23,19,20,14,75,73,78,80,77,82,48,47,50
Rajasthan,6.4,7,5.8,6.7,7.3,6.1,5.4,5.9,4.9,55,51,60,59,55,64,38,35,42,37,40,26,18,19,12,74,68,81,81,75,87,52,45,59
Uttar Pradesh,8.32,8.68,7.94,8.79,9.16,8.41,6.69,7.06,6.28,68.03,67.07,69.08,71.74,70.87,72.68,50.86,49.84,52.01,48.98,51.91,35.42,19.05,19.83,15.44,90,86,95,97,92,102,63,60,66
Uttarakhand,6.39,7.48,5.29,6.72,8.03,5.45,5.58,6.23,4.88,39.62,38.91,40.44,42.49,41.73,43.34,31.31,30.84,31.85,28.07,29.78,23.08,11.55,12.7,8.22,48,47,49,52,50,54,37,38,37

