State_Name,State_District_Name,ZZ_Crude_Birth_Rate_Total_Lower_Limit,ZZ_Crude_Birth_Rate_Total_Upper_Limit,ZZ_Crude_Birth_Rate_Rural_Lower_Limit,ZZ_Crude_Birth_Rate_Rural_Upper_Limit,ZZ_Crude_Birth_Rate_Urban_Lower_Limit,ZZ_Crude_Birth_Rate_Urban_Upper_Limit,ZZ_Crude_Death_Rate_Total_Lower_Limit,ZZ_Crude_Death_Rate_Total_Upper_Limit,ZZ_Crude_Death_Rate_Rural_Lower_Limit,ZZ_Crude_Death_Rate_Rural_Upper_Limit,ZZ_Crude_Death_Rate_Urban_Lower_Limit,ZZ_Crude_Death_Rate_Urban_Upper_Limit,ZZ_Infant_Mortality_Rate_Total_Lower_Limit,ZZ_Infant_Mortality_Rate_Total_Upper_Limit,ZZ_Infant_Mortality_Rate_Rural_Lower_Limit,ZZ_Infant_Mortality_Rate_Rural_Upper_Limit,ZZ_Infant_Mortality_Rate_Urban_Lower_Limit,ZZ_Infant_Mortality_Rate_Urban_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Total_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Total_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Rural_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Rural_Upper_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Urban_Lower_Limit,ZZ_Under_Five_Mortality_Rate_U5MR_Urban_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Total_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Total_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Rural_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Rural_Upper_Limit,ZZ_Sex_Ratio_At_Birth_Urban_Lower_Limit,ZZ_Sex_Ratio_At_Birth_Urban_Upper_Limit
Assam,Barpeta,19,21.9,19.6,22.7,12.2,16.9,5.9,7.4,5.9,7.5,4.1,8.2,34,51,36,54,NA,NA,51,66,54,70,NA,NA,871,985,851,965,908,1611
Assam,Bongaigaon,18.2,20.3,19.4,21.6,9.2,13.5,5.6,6.6,5.7,6.9,3.9,6.2,40,55,42,59,NA,NA,54,68,58,73,NA,NA,897,1005,911,1026,621,956
Assam,Cachar,24.3,26.3,25.1,27.2,19.2,24,6.8,7.7,6.9,8,5.7,7.4,47,58,50,62,25,49,64,74,68,80,31,57,891,966,871,949,905,1168
Assam,Darrang,18.4,22.5,18.7,22.9,8.7,13,6.9,9.2,6.9,9.3,5.6,8.2,51,89,52,91,NA,NA,78,105,79,107,NA,NA,913,1102,908,1097,NA,NA
Assam,Dhemaji,21.8,23.4,22,23.8,18.3,21.4,4.1,4.9,4.1,4.9,3.6,4.9,30,43,31,45,9,33,39,51,40,53,11,38,935,1045,938,1054,772,1083
Assam,Dhubri,20.5,23.1,21.5,24.3,13.7,15.4,6.2,7.8,6.4,8.1,3.3,7.5,58,80,59,82,NA,NA,77,97,79,100,NA,NA,868,998,864,998,716,1260
Assam,Dibrugarh,18.5,19.9,19.6,21.1,14.2,17.4,7,7.8,7.5,8.4,5.1,6.6,45,57,46,59,28,61,59,72,62,77,37,64,875,972,871,977,813,1046
Assam,Goalpara,20.2,23.1,20.4,23.5,15.7,20.7,6.3,7,6.3,7.1,4.1,7.7,44,62,46,64,NA,NA,63,78,66,81,NA,NA,871,976,862,969,834,1319
Assam,Golaghat,20.6,22.4,20.6,22.5,17.9,24.5,7.3,8.7,7.6,8.9,3.7,8.3,46,66,48,70,NA,NA,63,78,67,83,NA,NA,893,1004,902,1020,713,1032
Assam,Hailakandi,26.6,34.7,27.7,37.4,14.2,24.3,5.7,7.9,5.9,7.9,NA,NA,35,69,36,73,NA,NA,72,103,75,109,NA,NA,735,918,743,938,466,1018
