District,Sanctioned post (Number),Fulfilled Number,Fulfilled %,Filled in contract (Karar) (Number),Recruited using local & other resources (Number)
Taplejung,8,6,75,0,0
Panchthar,10,10,100,0,0
Ilam,6,6,100,0,0
Jhapa,11,11,100,0,0
Morang,11,11,100,0,0
Sunsari,8,9,113,0,0
Dhankuta,10,9,90,0,0
Teharthum,5,4,80,0,0
Sankhuwasabha,9,7,78,0,0
Bhojpur,10,8,80,0,0
Solukhumbu,8,8,100,0,0
Okhaldhunga,6,6,100,0,0
Khotang,9,6,67,0,0
Udaypur,12,12,100,0,0
Saptari,10,10,100,0,0
Siraha,8,8,100,0,0
Dhanusha,11,11,100,0,0
Mahottari,15,15,100,0,0
Sarlahi,13,11,85,0,0
Sindhuli,9,9,100,0,0
Ramechhap,9,8,89,0,0
Dolkha,7,6,86,0,0
Sindhupalchowk,11,10,91,0,0
Kavre,11,11,100,0,0
Lalitpur,9,9,100,0,5
Bhaktapur,10,9,90,0,0
Kathmandu,10,9,90,0,0
Nuwakot,6,5,83,0,0
Rasuwa,6,6,100,0,0
Dhading,7,7,100,0,0
Makawanpur,14,14,100,0,0
Rautahat,12,12,100,0,0
Bara,16,16,100,0,0
Parsa,8,8,100,0,0
Chitwan,8,7,87.5,0,0
Gorkha,8,8,100,0,0
Lamjung,9,8,89,0,0
Tanahu,9,9,100,0,0
Syangja,9,11,122.2,0,0
Kaski,8,8,100,0,0
Manang,7,4,57,4,0
Mustang,7,7,100,0,0
Myagdi,8,8,100,0,0
Parbat,8,8,100,0,0
Baglung,12,12,100,0,0
Gulmi,12,11,92,0,0
Palpa,7,6,86,0,0
Nawalparasi,7,6,86,0,0
Rupandehi,12,12,100,0,0
Kapilvastu,9,8,89,0,0
Arghakhanchi,8,8,100,0,0
Pyuthan,7,7,100,0,0
Rolpa,9,9,100,0,0
Rukum,8,8,100,0,0
Salyan,9,10,111.1,0,0
Dang,5,5,100,0,0
Banke,12,12,100,0,0
Bardiya,9,9,100,0,0
Surkhet,9,10,111.1,0,0
Dailekh,9,8,89,0,0
Jajarkot,7,6,86,0,0
Dolpa,3,3,100,0,0
Jumla,6,4,67,0,3
Kalikot,11,10,91,0,0
Mugu,5,4,80,0,0
Humla,5,5,100,0,0
Bajura,5,5,100,0,0
Bajhang,8,6,75,0,0
Achham,5,5,100,0,0
Doti,6,5,83,0,0
Kailali,12,11,92,0,0
Kanchanpur,12,12,100,0,0
Dadeldhura,14,13,93,0,0
Baitadi,8,8,100,0,0
Darchula,11,7,64,0,1
