District,Sanctioned post (Number),Fulfilled Number,Fulfilled %,Filled in contract (Karar) (Number),Recruited using local & other resources (Number)
Taplejung,0,0,0,0,0
Panchthar,1,1,100,0,0
Ilam,0,0,0,0,0
Jhapa,0,0,0,0,0
Morang,0,0,0,0,0
Sunsari,1,1,100,0,0
Dhankuta,1,1,100,0,0
Teharthum,0,0,0,0,0
Sankhuwasabha,1,0,0,0,0
Bhojpur,1,1,100,0,0
Solukhumbu,1,1,100,0,0
Okhaldhunga,1,0,0,0,0
Khotang,1,0,0,0,0
Udaypur,1,1,100,0,0
Saptari,1,1,100,0,0
Siraha,1,1,100,0,0
Dhanusha,0,0,0,0,0
Mahottari,1,1,100,0,0
Sarlahi,0,0,0,0,0
Sindhuli,0,0,0,0,0
Ramechhap,0,0,0,0,0
Dolkha,0,0,0,0,0
Sindhupalchowk,1,0,0,0,0
Kavre,0,0,0,0,0
Lalitpur,0,0,0,0,0
Bhaktapur,0,0,0,0,0
Kathmandu,0,0,0,0,0
Nuwakot,1,0,0,0,0
Rasuwa,0,0,0,0,0
Dhading,1,1,100,0,0
Makawanpur,0,0,0,0,0
Rautahat,1,1,100,0,0
Bara,0,0,0,0,0
Parsa,0,0,0,0,0
Chitwan,0,0,0,0,0
Gorkha,0,0,0,0,0
Lamjung,0,0,0,0,0
Tanahu,1,1,100,0,0
Syangja,1,1,100,0,0
Kaski,0,0,0,0,0
Manang,0,0,0,0,0
Mustang,0,0,0,0,0
Myagdi,1,0,0,0,0
Parbat,0,0,0,0,0
Baglung,0,0,0,0,0
Gulmi,0,0,0,0,0
Palpa,1,0,0,0,0
Nawalparasi,1,1,100,0,0
Rupandehi,0,0,0,0,0
Kapilvastu,1,1,100,0,0
Arghakhanchi,1,0,0,0,0
Pyuthan,1,1,100,0,0
Rolpa,0,0,0,0,0
Rukum,0,0,0,0,0
Salyan,1,1,100,0,0
Dang,0,0,0,0,0
Banke,0,0,0,0,0
Bardiya,0,0,0,0,0
Surkhet,1,1,100,0,0
Dailekh,0,0,0,0,0
Jajarkot,1,0,0,0,0
Dolpa,0,0,0,0,0
Jumla,1,0,0,0,0
Kalikot,0,0,0,0,0
Mugu,0,0,0,0,0
Humla,0,0,0,0,0
Bajura,0,0,0,0,0
Bajhang,0,0,0,0,0
Achham,0,0,0,0,0
Doti,1,1,100,0,0
Kailali,0,0,0,0,0
Kanchanpur,0,0,0,0,0
Dadeldhura,0,0,0,0,0
Baitadi,1,1,100,0,0
Darchula,0,0,0,0,0
